,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
325,12,<,5,Virginia Tech,Big East,7-2,910,,Week 11Nov 9,2003,15
326,13,<,3,Florida State,ACC,8-2,851,,Week 11Nov 9,2003,13
327,14,<,6,Miami (FL),Big East,7-2,814,,Week 11Nov 9,2003,12
328,15,<,17,Florida,SEC,6-3,770,,Week 11Nov 9,2003,14
329,16,<,25,Pittsburgh,Big East,7-2,761,,Week 11Nov 9,2003,19
330,17,<,20,Mississippi,SEC,8-2,686,,Week 11Nov 9,2003,18
331,18,<,19,Nebraska,Big 12,8-2,586,,Week 11Nov 9,2003,17
332,19,<,24,Minnesota,Big Ten,9-2,391,,Week 11Nov 9,2003,22
333,20,<,10,Iowa,Big Ten,7-2,378,,Week 11Nov 9,2003,20
334,21,<,14,Michigan State,Big Ten,7-3,309,,Week 11Nov 9,2003,24
335,21,<,23,Northern Illinois,MAC,9-1,309,W 40-9 A Buffalo,Week 11Nov 9,2003,21
336,23,<,NR,Miami (OH),MAC,8-1,304,,Week 11Nov 9,2003,16
337,24,<,NR,Boise State,WAC,8-1,127,,Week 11Nov 9,2003,NR
338,25,<,15,Bowling Green,MAC,7-2,90,L 33-10 A Miami (OH),Week 11Nov 9,2003,23
339,NR,<,21,Oklahoma State,Big 12,7-3,0,L 55-16 H Texas,Week 11Nov 9,2003,25
340,NR,<,22,Missouri,Big 12,,0,,Week 11Nov 9,2003,NR
341,1,<,1,Oklahoma (65),Big 12,11-0,1625,W 41-3 H Baylor,Week 12Nov 16,2003,1
342,2,<,2,USC,Pac-10,9-1,1559,,Week 12Nov 16,2003,3
343,3,<,3,LSU,SEC,9-1,1474,,Week 12Nov 16,2003,4
344,4,<,4,Ohio State,Big Ten,10-1,1431,,Week 12Nov 16,2003,2
345,5,<,5,Michigan,Big Ten,9-2,1356,,Week 12Nov 16,2003,9
346,6,<,7,Georgia,SEC,8-2,1205,,Week 12Nov 16,2003,6
347,7,<,6,Texas,Big 12,9-2,1192,,Week 12Nov 16,2003,5
348,8,<,8,Washington State,Pac-10,9-2,1140,W 34-19 H Arizona State,Week 12Nov 16,2003,10
349,9,<,9,Tennessee,SEC,8-2,1092,,Week 12Nov 16,2003,7
350,10,<,10,TCU,CUSA,10-0,989,W 43-10 H Cincinnati,Week 12Nov 16,2003,8
351,11,<,13,Florida State,ACC,9-2,918,,Week 12Nov 16,2003,11
352,12,<,12,Virginia Tech,Big East,8-2,845,,Week 12Nov 16,2003,17
353,13,<,14,Miami (FL),Big East,8-2,842,,Week 12Nov 16,2003,12
354,13,<,15,Florida,SEC,8-3,842,,Week 12Nov 16,2003,13
355,15,<,17,Mississippi,SEC,8-2,805,,Week 12Nov 16,2003,15
356,16,<,11,Purdue,Big Ten,8-3,683,,Week 12Nov 16,2003,16
357,17,<,20,Iowa,Big Ten,8-3,572,,Week 12Nov 16,2003,18
358,18,<,23,Miami (OH),MAC,9-1,530,,Week 12Nov 16,2003,14
359,19,<,NR,Kansas State,Big 12,9-3,464,,Week 12Nov 16,2003,19
360,20,<,24,Boise State,WAC,9-1,330,,Week 12Nov 16,2003,23
361,21,<,16,Pittsburgh,Big East,7-3,239,,Week 12Nov 16,2003,25
362,22,<,25,Bowling Green,MAC,8-2,212,W 42-33 H Kent State,Week 12Nov 16,2003,20
363,23,<,18,Nebraska,Big 12,8-3,124,,Week 12Nov 16,2003,22
364,24,<,NR,Oklahoma State,Big 12,8-3,118,W 44-21 H Kansas,Week 12Nov 16,2003,21
365,25,<,NR,West Virginia,Big East,6-4,109,,Week 12Nov 16,2003,NR
366,NR,<,19,Minnesota,Big Ten,,0,,Week 12Nov 16,2003,NR
367,NR,<,21,Michigan State,Big Ten,,0,,Week 12Nov 16,2003,NR
368,NR,<,21,Northern Illinois,MAC,,0,,Week 12Nov 16,2003,NR
369,NR,<,NR,Utah,MWC,,0,,Week 12Nov 16,2003,24
370,1,<,1,Oklahoma (65),Big 12,12-0,1625,W 56-25 A Texas Tech,Week 13Nov 23,2003,1
371,2,<,2,USC,Pac-10,10-1,1558,,Week 13Nov 23,2003,2
372,3,<,3,LSU,SEC,10-1,1492,,Week 13Nov 23,2003,3
373,4,<,5,Michigan,Big Ten,10-2,1432,,Week 13Nov 23,2003,4
374,5,<,6,Georgia,SEC,9-2,1319,,Week 13Nov 23,2003,7
375,6,<,7,Texas,Big 12,9-2,1292,,Week 13Nov 23,2003,6
376,7,<,9,Tennessee,SEC,9-2,1215,,Week 13Nov 23,2003,8
377,8,<,4,Ohio State,Big Ten,10-2,1171,,Week 13Nov 23,2003,5
378,9,<,11,Florida State,ACC,9-2,1056,,Week 13Nov 23,2003,9
379,10,<,13,Miami (FL),Big East,9-2,1019,,Week 13Nov 23,2003,10
380,11,<,13,Florida,SEC,8-3,975,,Week 13Nov 23,2003,11
381,12,<,16,Purdue,Big Ten,9-3,860,,Week 13Nov 23,2003,14
382,13,<,17,Iowa,Big Ten,9-3,770,,Week 13Nov 23,2003,12
383,14,<,19,Kansas State,Big 12,10-3,692,,Week 13Nov 23,2003,16
384,15,<,18,Miami (OH),MAC,10-1,665,,Week 13Nov 23,2003,13
385,16,<,8,Washington State,Pac-10,9-3,654,L 27-19 A Washington,Week 13Nov 23,2003,15
386,17,<,15,Mississippi,SEC,8-3,567,,Week 13Nov 23,2003,18
387,18,<,20,Boise State,WAC,10-1,437,,Week 13Nov 23,2003,19
388,19,<,10,TCU,CUSA,10-1,407,L 40-28 A Southern Miss,Week 13Nov 23,2003,17
389,20,<,21,Pittsburgh,Big East,8-3,406,,Week 13Nov 23,2003,25
390,21,<,12,Virginia Tech,Big East,8-3,279,,Week 13Nov 23,2003,NR
391,22,<,22,Bowling Green,MAC,9-2,270,W 41-14 A Ball State,Week 13Nov 23,2003,20
392,23,<,24,Oklahoma State,Big 12,9-3,205,W 38-21 A Baylor,Week 13Nov 23,2003,21
393,24,<,25,West Virginia,Big East,7-4,203,,Week 13Nov 23,2003,NR
394,25,<,23,Nebraska,Big 12,8-3,158,,Week 13Nov 23,2003,23
395,NR,<,NR,Arkansas,SEC,,0,,Week 13Nov 23,2003,24
396,NR,<,NR,Utah,MWC,,0,,Week 13Nov 23,2003,22
397,1,<,1,Oklahoma (65),Big 12,12-0,1625,DNP,Week 14Nov 30,2003,1
398,2,<,2,USC,Pac-10,10-1,1555,,Week 14Nov 30,2003,2
399,3,<,3,LSU,SEC,11-1,1495,,Week 14Nov 30,2003,3
400,4,<,4,Michigan,Big Ten,10-2,1432,,Week 14Nov 30,2003,4
401,5,<,5,Georgia,SEC,10-2,1327,,Week 14Nov 30,2003,7
402,6,<,6,Texas,Big 12,10-2,1294,,Week 14Nov 30,2003,6
403,7,<,7,Tennessee,SEC,10-2,1194,,Week 14Nov 30,2003,9
404,8,<,8,Ohio State,Big Ten,10-2,1179,,Week 14Nov 30,2003,5
405,9,<,9,Florida State,ACC,10-2,1118,,Week 14Nov 30,2003,8
406,10,<,10,Miami (FL),Big East,10-2,1070,,Week 14Nov 30,2003,10
407,11,<,12,Purdue,Big Ten,9-3,893,,Week 14Nov 30,2003,13
408,12,<,13,Iowa,Big Ten,9-3,805,,Week 14Nov 30,2003,12
409,13,<,14,Kansas State,Big 12,10-3,763,,Week 14Nov 30,2003,15
410,14,<,15,Miami (OH),MAC,11-1,711,,Week 14Nov 30,2003,11
411,15,<,16,Washington State,Pac-10,9-3,675,DNP,Week 14Nov 30,2003,16
412,16,<,11,Florida,SEC,8-4,664,,Week 14Nov 30,2003,14
413,17,<,17,Mississippi,SEC,9-3,653,,Week 14Nov 30,2003,20
414,18,<,18,Boise State,WAC,11-1,511,,Week 14Nov 30,2003,19
415,19,<,19,TCU,CUSA,11-1,392,W 20-13 A SMU,Week 14Nov 30,2003,17
416,20,<,22,Bowling Green,MAC,10-2,351,W 31-23 H Toledo,Week 14Nov 30,2003,18
417,21,<,24,West Virginia,Big East,8-4,297,,Week 14Nov 30,2003,NR
418,22,<,23,Oklahoma State,Big 12,9-3,277,DNP,Week 14Nov 30,2003,22
419,23,<,25,Nebraska,Big 12,9-3,262,,Week 14Nov 30,2003,21
420,24,<,NR,Maryland,ACC,9-3,162,,Week 14Nov 30,2003,24
421,25,<,NR,Minnesota,Big Ten,9-3,107,,Week 14Nov 30,2003,25
422,NR,<,20,Pittsburgh,Big East,,0,,Week 14Nov 30,2003,NR
423,NR,<,21,Virginia Tech,Big East,,0,,Week 14Nov 30,2003,NR
424,NR,<,NR,Utah,MWC,,0,,Week 14Nov 30,2003,23
425,1,<,2,USC (42),Pac-10,11-1,1595,W 52-28 H Oregon State,Week 15Dec 7,2003,3
426,2,<,3,LSU (21),SEC,12-1,1580,,Week 15Dec 7,2003,2
427,3,<,1,Oklahoma (2),Big 12,12-1,1491,L 35-7 N #13 Kansas State (Big 12 CG),Week 15Dec 7,2003,1
428,4,<,4,Michigan,Big Ten,10-2,1437,,Week 15Dec 7,2003,4
429,5,<,6,Texas,Big 12,10-2,1322,,Week 15Dec 7,2003,6
430,6,<,7,Tennessee,SEC,10-2,1228,,Week 15Dec 7,2003,8
431,7,<,8,Ohio State,Big Ten,10-2,1208,,Week 15Dec 7,2003,5
432,8,<,13,Kansas State,Big 12,11-3,1151,,Week 15Dec 7,2003,10
433,9,<,9,Florida State,ACC,10-2,1128,,Week 15Dec 7,2003,7
434,10,<,10,Miami (FL),Big East,10-2,1075,,Week 15Dec 7,2003,9
435,11,<,5,Georgia,SEC,10-3,1018,,Week 15Dec 7,2003,12
436,12,<,11,Purdue,Big Ten,9-3,849,,Week 15Dec 7,2003,14
437,13,<,12,Iowa,Big Ten,9-3,771,,Week 15Dec 7,2003,13
438,14,<,14,Miami (OH),MAC,11-1,756,,Week 15Dec 7,2003,11
439,15,<,15,Washington State,Pac-10,9-3,638,DNP,Week 15Dec 7,2003,16
440,16,<,17,Mississippi,SEC,9-3,637,,Week 15Dec 7,2003,19
441,17,<,16,Florida,SEC,8-4,619,,Week 15Dec 7,2003,15
442,18,<,18,Boise State,WAC,12-1,540,,Week 15Dec 7,2003,17
443,19,<,19,TCU,CUSA,11-1,392,DNP,Week 15Dec 7,2003,18
444,20,<,21,West Virginia,Big East,8-4,320,,Week 15Dec 7,2003,NR
445,21,<,22,Oklahoma State,Big 12,9-3,299,DNP,Week 15Dec 7,2003,21
446,22,<,23,Nebraska,Big 12,9-3,278,,Week 15Dec 7,2003,20
447,23,<,24,Maryland,ACC,9-3,221,,Week 15Dec 7,2003,23
448,24,<,25,Minnesota,Big Ten,9-3,134,,Week 15Dec 7,2003,25
449,25,<,NR,Utah,MWC,9-2,106,DNP,Week 15Dec 7,2003,22
450,NR,<,20,Bowling Green,MAC,,0,,Week 15Dec 7,2003,24
451,1,<,1,USC (48),Pac-10,12-1,1608,W 28-14 N #4 Michigan (Rose),Week 16 (Final)Jan 5,2003,
452,2,<,2,LSU (17),SEC,13-1,1576,W 21-14 N #3 Oklahoma (Sugar),Week 16 (Final)Jan 5,2003,
453,3,<,3,Oklahoma,Big 12,12-2,1476,L 21-14 N #2 LSU (Sugar),Week 16 (Final)Jan 5,2003,
454,4,<,7,Ohio State,Big Ten,11-2,1411,W 35-28 N #8 Kansas State (Fiesta),Week 16 (Final)Jan 5,2003,
455,5,<,10,Miami (FL),Big East,11-2,1329,W 16-14 H #9 Florida State (Orange),Week 16 (Final)Jan 5,2003,
456,6,<,4,Michigan,Big Ten,10-3,1281,L 28-14 N #1 USC (Rose),Week 16 (Final)Jan 5,2003,
457,7,<,11,Georgia,SEC,11-3,1255,W 34-27 (1OT) N #12 Purdue (Capital One),Week 16 (Final)Jan 5,2003,
458,8,<,13,Iowa,Big Ten,10-3,1107,W 37-17 N #17 Florida (Outback),Week 16 (Final)Jan 5,2003,
459,9,<,15,Washington State,Pac-10,10-3,1060,W 28-20 N #5 Texas (Holiday),Week 16 (Final)Jan 5,2003,
460,10,<,14,Miami (OH),MAC,13-1,932,W 49-28 N Louisville (GMAC),Week 16 (Final)Jan 5,2003,
461,11,<,9,Florida State,ACC,10-3,905,L 16-14 A #10 Miami (FL) (Orange),Week 16 (Final)Jan 5,2003,
462,12,<,5,Texas,Big 12,10-3,887,L 28-20 N #15 Washington State (Holiday),Week 16 (Final)Jan 5,2003,
463,13,<,16,Mississippi,SEC,10-3,845,W 31-28 N #21 Oklahoma State (Cotton),Week 16 (Final)Jan 5,2003,
464,14,<,8,Kansas State,Big 12,11-4,833,L 35-28 N #7 Ohio State (Fiesta),Week 16 (Final)Jan 5,2003,
465,15,<,6,Tennessee,SEC,10-3,695,L 27-14 N Clemson (Peach),Week 16 (Final)Jan 5,2003,
466,16,<,18,Boise State,WAC,13-1,645,W 34-31 A #19 TCU (Fort Worth),Week 16 (Final)Jan 5,2003,
467,17,<,23,Maryland,ACC,10-3,564,W 41-7 N #20 West Virginia (Gator),Week 16 (Final)Jan 5,2003,
468,18,<,12,Purdue,Big Ten,9-4,526,L 34-27 (1OT) N #11 Georgia (Capital One),Week 16 (Final)Jan 5,2003,
469,19,<,22,Nebraska,Big 12,10-3,520,W 17-3 N Michigan State (Alamo),Week 16 (Final)Jan 5,2003,
470,20,<,24,Minnesota,Big Ten,10-3,368,W 31-30 N Oregon (Sun),Week 16 (Final)Jan 5,2003,
471,21,<,25,Utah,MWC,10-2,308,W 17-0 N Southern Miss (Liberty),Week 16 (Final)Jan 5,2003,
472,22,<,NR,Clemson,ACC,9-4,230,,Week 16 (Final)Jan 5,2003,
473,23,<,NR,Bowling Green,MAC,11-3,189,W 28-24 N Northwestern (Motor City),Week 16 (Final)Jan 5,2003,
474,24,<,17,Florida,SEC,8-5,165,L 37-17 N #13 Iowa (Outback),Week 16 (Final)Jan 5,2003,
475,25,<,19,TCU,CUSA,11-2,126,L 34-31 H #18 Boise State (Fort Worth),Week 16 (Final)Jan 5,2003,
476,NR,<,20,West Virginia,Big East,,0,L 41-7 N #23 Maryland (Gator),Week 16 (Final)Jan 5,2003,
477,NR,<,21,Oklahoma State,Big 12,9-4,0,L 31-28 N #16 Mississippi (Cotton),Week 16 (Final)Jan 5,2003,
