,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
418,8,<,10,West Virginia,Big East,8-1,1075,,12,2006,8
419,9,<,12,LSU,SEC,8-2,1074,,12,2006,11
420,10,<,3,Louisville,Big East,8-1,1028,L 28-25 A Rutgers,12,2006,10
421,11,<,4,Texas,Big 12,9-2,965,,12,2006,13
422,12,<,16,Wisconsin,Big Ten,10-1,930,,12,2006,9
423,13,<,14,Boise State,WAC,10-0,805,,12,2006,12
424,14,<,18,Wake Forest,ACC,9-1,777,W 30-0 A Florida State,12,2006,16
425,15,<,5,Auburn,SEC,9-2,751,,12,2006,14
426,16,<,17,Oklahoma,Big 12,8-2,746,W 34-24 H Texas Tech,12,2006,17
427,17,<,8,California,Pac-10,8-2,595,,12,2006,15
428,18,<,19,Georgia Tech,ACC,8-2,563,,12,2006,18
429,19,<,20,Virginia Tech,ACC,8-2,413,,12,2006,21
430,20,<,22,Boston College,ACC,8-2,350,,12,2006,20
431,21,<,23,Maryland,ACC,8-2,309,,12,2006,19
432,22,<,13,Tennessee,SEC,7-3,276,,12,2006,22
433,23,<,25,BYU,MWC,8-2,216,,12,2006,25
434,24,<,NR,Nebraska,Big 12,8-3,197,,12,2006,23
435,25,<,NR,Clemson,ACC,8-3,57,,12,2006,NR
436,RV,<,NR,Hawaii,WAC,,39,,12,2006,NR
437,RV,<,21,Oregon,Pac-10,,36,,12,2006,24
438,RV,<,NR,Kansas State,Big 12,,8,,12,2006,NR
439,RV,<,NR,TCU,MWC,,7,,12,2006,NR
440,RV,<,24,Texas A&M,Big 12,,6,,12,2006,NR
441,RV,<,NR,Georgia,SEC,,3,,12,2006,NR
442,1,<,1,Ohio State (65),Big Ten,12-0,1625,W 42-39 H #2 Michigan,13,2006,1
443,2,<,2,Michigan,Big Ten,11-1,1502,L 42-39 A #1 Ohio State,13,2006,2
444,3,<,4,USC,Pac-10,9-1,1493,,13,2006,3
445,4,<,3,Florida,SEC,10-1,1451,,13,2006,4
446,5,<,5,Arkansas,SEC,10-1,1365,,13,2006,6
447,6,<,6,Notre Dame,Ind,10-1,1307,,13,2006,5
448,7,<,8,West Virginia,Big East,9-1,1144,,13,2006,7
449,8,<,10,Louisville,Big East,9-1,1078,W 31-8 H South Florida,13,2006,9
450,9,<,9,LSU,SEC,9-2,1075,,13,2006,10
451,10,<,12,Wisconsin,Big Ten,11-1,1049,,13,2006,8
452,11,<,11,Texas,Big 12,9-2,1028,,13,2006,13
453,12,<,13,Boise State,WAC,11-0,878,,13,2006,11
454,13,<,16,Oklahoma,Big 12,9-2,856,W 36-10 A Baylor,13,2006,15
455,14,<,15,Auburn,SEC,10-2,822,,13,2006,12
456,15,<,7,Rutgers,Big East,9-1,736,,13,2006,14
457,16,<,18,Georgia Tech,ACC,9-2,667,,13,2006,16
458,17,<,19,Virginia Tech,ACC,9-2,583,,13,2006,17
459,18,<,20,Boston College,ACC,9-2,516,,13,2006,18
460,19,<,22,Tennessee,SEC,8-3,404,,13,2006,20
461,20,<,14,Wake Forest,ACC,9-2,355,L 27-6 H Virginia Tech,13,2006,21
462,21,<,23,BYU,MWC,9-2,325,,13,2006,23
463,22,<,17,California,Pac-10,8-3,302,,13,2006,19
464,23,<,24,Nebraska,Big 12,8-3,258,,13,2006,22
465,24,<,25,Clemson,ACC,8-3,122,,13,2006,24
466,25,<,NR,Hawaii,WAC,9-2,89,W 54-17 H San Jose State,13,2006,NR
467,RV,<,21,Maryland,ACC,,55,,13,2006,NR
468,RV,<,NR,TCU,MWC,,16,,13,2006,NR
469,RV,<,NR,Texas A&M,Big 12,,13,,13,2006,NR
470,RV,<,NR,Penn State,Big Ten,,6,,13,2006,25
471,RV,<,NR,Georgia,SEC,,3,,13,2006,NR
472,RV,<,NR,Arizona,Pac-10,,1,,13,2006,NR
473,RV,<,NR,Oregon State,Pac-10,,1,,13,2006,NR
474,1,<,1,Ohio State (65),Big Ten,12-0,1625,DNP,14,2006,1
475,2,<,3,USC,Pac-10,10-1,1540,,14,2006,2
476,3,<,2,Michigan,Big Ten,11-1,1504,,14,2006,3
477,4,<,4,Florida,SEC,11-1,1441,,14,2006,4
478,5,<,9,LSU,SEC,10-2,1303,,14,2006,5
479,6,<,8,Louisville,Big East,10-1,1241,W 48-24 A Pittsburgh,14,2006,6
480,7,<,10,Wisconsin,Big Ten,11-1,1212,,14,2006,7
481,8,<,5,Arkansas,SEC,10-2,1095,,14,2006,9
482,8,<,13,Oklahoma,Big 12,10-2,1095,W 27-21 A Oklahoma State,14,2006,12
483,10,<,12,Boise State,WAC,12-0,1044,,14,2006,8
484,11,<,14,Auburn,SEC,10-2,966,,14,2006,11
485,12,<,6,Notre Dame,Ind,10-2,940,,14,2006,10
486,13,<,15,Rutgers,Big East,10-1,906,,14,2006,13
487,14,<,17,Virginia Tech,ACC,10-2,775,,14,2006,14
488,15,<,7,West Virginia,Big East,9-2,667,,14,2006,15
489,16,<,20,Wake Forest,ACC,10-2,621,W 38-24 A Maryland,14,2006,17
490,17,<,11,Texas,Big 12,9-3,542,,14,2006,19
491,17,<,19,Tennessee,SEC,9-3,542,,14,2006,16
492,19,<,23,Nebraska,Big 12,9-3,405,,14,2006,20
493,20,<,21,BYU,MWC,10-2,394,,14,2006,21
494,21,<,22,California,Pac-10,8-3,367,,14,2006,18
495,22,<,NR,Texas A&M,Big 12,9-3,318,,14,2006,23
496,23,<,16,Georgia Tech,ACC,9-3,210,,14,2006,22
497,24,<,25,Hawaii,WAC,10-2,174,W 42-35 H Purdue,14,2006,25
498,25,<,18,Boston College,ACC,9-3,91,,14,2006,NR
499,RV,<,NR,Georgia,SEC,,44,,14,2006,NR
500,RV,<,NR,TCU,MWC,,31,,14,2006,NR
501,RV,<,NR,Oregon State,Pac-10,,17,,14,2006,24
502,RV,<,NR,Penn State,Big Ten,,4,,14,2006,NR
503,RV,<,NR,South Florida,Big East,,4,,14,2006,NR
504,RV,<,NR,Maryland,ACC,,3,,14,2006,NR
505,RV,<,NR,South Carolina,SEC,,3,,14,2006,NR
506,RV,<,NR,Houston,CUSA,,1,,14,2006,NR
507,RV,<,24,Clemson,ACC,,0,,14,2006,NR
508,1,<,1,Ohio State (65),Big Ten,12-0,1625,DNP,15,2006,1
509,2,<,4,Florida,SEC,12-1,1529,,15,2006,2
510,3,<,3,Michigan,Big Ten,11-1,1526,,15,2006,3
511,4,<,5,LSU,SEC,10-2,1365,,15,2006,4
512,5,<,6,Louisville,Big East,11-1,1333,W 48-17 H Connecticut,15,2006,6
513,6,<,7,Wisconsin,Big Ten,11-1,1255,,15,2006,7
514,7,<,8,Oklahoma,Big 12,11-2,1232,W 21-7 N #19 Nebraska (Big 12 CG),15,2006,10
515,8,<,2,USC,Pac-10,10-2,1182,,15,2006,5
516,9,<,10,Boise State,WAC,12-0,1097,,15,2006,8
517,10,<,11,Auburn,SEC,10-2,1020,,15,2006,9
518,11,<,12,Notre Dame,Ind,10-2,939,,15,2006,11
519,12,<,8,Arkansas,SEC,10-3,867,,15,2006,12
520,13,<,15,West Virginia,Big East,10-2,865,,15,2006,13
521,14,<,14,Virginia Tech,ACC,10-2,798,,15,2006,15
522,15,<,16,Wake Forest,ACC,11-2,766,W 9-6 N Georgia Tech (ACC CG),15,2006,14
523,16,<,13,Rutgers,Big East,10-2,631,,15,2006,16
524,17,<,17,Tennessee,SEC,9-3,576,,15,2006,17
525,18,<,17,Texas,Big 12,9-3,564,,15,2006,19
526,19,<,20,BYU,MWC,10-2,436,,15,2006,20
527,20,<,21,California,Pac-10,9-3,390,,15,2006,18
528,21,<,22,Texas A&M,Big 12,9-3,379,,15,2006,21
529,22,<,19,Nebraska,Big 12,9-4,193,,15,2006,23
530,23,<,25,Boston College,ACC,9-3,179,,15,2006,24
531,24,<,NR,Oregon State,Pac-10,9-4,112,,15,2006,22
532,25,<,NR,TCU,MWC,10-2,80,W 38-14 H Air Force,15,2006,NR
533,RV,<,NR,Georgia,SEC,,57,,15,2006,NR
534,RV,<,23,Georgia Tech,ACC,,53,,15,2006,NR
535,RV,<,24,Hawaii,WAC,,25,,15,2006,NR
536,RV,<,NR,Houston,CUSA,,21,,15,2006,NR
537,RV,<,NR,Penn State,Big Ten,,9,,15,2006,NR
538,RV,<,NR,Maryland,ACC,,6,,15,2006,NR
539,RV,<,NR,South Florida,Big East,,6,,15,2006,NR
540,RV,<,NR,Navy,Ind,,4,,15,2006,NR
541,RV,<,NR,South Carolina,SEC,,3,,15,2006,NR
542,RV,<,NR,UCLA,Pac-10,,2,,15,2006,25
543,1,<,2,Florida (64),SEC,13-1,1624,W 41-14 N #1 Ohio State (BCS NC),16,2006,
544,2,<,1,Ohio State,Big Ten,12-1,1492,L 41-14 N #2 Florida (BCS NC),16,2006,
545,3,<,4,LSU,SEC,11-2,1452,W 41-14 N #11 Notre Dame (Sugar),16,2006,
546,4,<,8,USC,Pac-10,11-2,1389,W 32-18 N #3 Michigan (Rose),16,2006,
547,5,<,9,Boise State (1),WAC,13-0,1383,W 43-42 (1OT) N #7 Oklahoma (Fiesta),16,2006,
548,6,<,5,Louisville,Big East,12-1,1338,W 24-13 N #15 Wake Forest (Orange),16,2006,
549,7,<,6,Wisconsin,Big Ten,12-1,1288,W 17-14 N #12 Arkansas (Capital One),16,2006,
550,8,<,3,Michigan,Big Ten,11-2,1145,L 32-18 N #8 USC (Rose),16,2006,
551,9,<,10,Auburn,SEC,11-2,1112,W 17-14 N #22 Nebraska (Cotton),16,2006,
552,10,<,13,West Virginia,Big East,11-2,1035,W 38-35 N Georgia Tech (Gator),16,2006,
553,11,<,7,Oklahoma,Big 12,11-3,933,L 43-42 (1OT) N #9 Boise State (Fiesta),16,2006,
554,12,<,16,Rutgers,Big East,11-2,884,W 37-10 N Kansas State (Texas),16,2006,
555,13,<,18,Texas,Big 12,10-3,772,W 26-24 N Iowa (Alamo),16,2006,
556,14,<,20,California,Pac-10,10-3,697,W 45-10 N #21 Texas A&M (Holiday),16,2006,
557,15,<,12,Arkansas,SEC,10-4,677,L 17-14 N #6 Wisconsin (Capital One),16,2006,
558,16,<,19,BYU,MWC,11-2,673,W 38-8 N Oregon (Las Vegas),16,2006,
559,17,<,11,Notre Dame,Ind,10-3,553,L 41-14 N #4 LSU (Sugar),16,2006,
560,18,<,15,Wake Forest,ACC,11-3,551,L 24-13 N #5 Louisville (Orange),16,2006,
561,19,<,14,Virginia Tech,ACC,10-3,407,L 31-24 N Georgia (Chick-fil-A),16,2006,
562,20,<,23,Boston College,ACC,10-3,353,W 25-24 N Navy (Meineke Car Care),16,2006,
563,21,<,24,Oregon State,Pac-10,10-4,291,W 39-38 N Missouri (Sun),16,2006,
564,22,<,25,TCU,MWC,11-2,279,W 37-7 N Northern Illinois (Poinsettia),16,2006,
565,23,<,NR,Georgia,SEC,9-4,204,,16,2006,
566,24,<,NR,Penn State,Big Ten,9-4,183,,16,2006,
567,25,<,17,Tennessee,SEC,9-4,181,L 20-10 N Penn State (Outback),16,2006,
568,RV,<,NR,Hawaii,WAC,,110,,16,2006,
569,RV,<,22,Nebraska,Big 12,,58,L 17-14 N #10 Auburn (Cotton),16,2006,
570,RV,<,NR,Maryland,ACC,,24,,16,2006,
571,RV,<,NR,South Florida,Big East,,17,,16,2006,
572,RV,<,21,Texas A&M,Big 12,,10,L 45-10 N #20 California (Holiday),16,2006,
573,RV,<,NR,Georgia Tech,ACC,,8,,16,2006,
574,RV,<,NR,Kentucky,SEC,,1,,16,2006,
575,RV,<,NR,San Jose State,MWC,,1,,16,2006,
