,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,CFP
258,RV,<,NR,Texas A&M,SEC,,5,RV,W 27-10 H Auburn,Week 4Sep 24[5],2023,
259,NR,<,24,Iowa,Big Ten,,0,RV,L 31-0 A #7 Penn State,Week 4Sep 24[5],2023,
260,NR,<,NR,Georgia State,Sun Belt,,0,RV,W 30-17 A Coastal Carolina,Week 4Sep 24[5],2023,
261,NR,<,NR,James Madison,Sun Belt,,0,RV,W 45-38 A Utah State,Week 4Sep 24[5],2023,
262,NR,<,NR,Liberty,CUSA,,0,RV,W 38-6 A Florida International,Week 4Sep 24[5],2023,
263,NR,<,NR,Marshall,Sun Belt,,0,RV,W 24-17 H Virginia Tech,Week 4Sep 24[5],2023,
264,NR,<,NR,Wyoming,MWC,,0,RV,W 22-19 H Appalachian State,Week 4Sep 24[5],2023,
265,1,<,1,Georgia (35),SEC,5-0,1501,*1,W 27-20 A Auburn,Week 5Oct 1[6],2023,
266,2,<,2,Michigan (12),Big Ten,5-0,1436,*2,W 45-7 A Nebraska,Week 5Oct 1[6],2023,
267,3,<,3,Texas (10),Big 12,5-0,1426,*4,W 40-14 H #24 Kansas,Week 5Oct 1[6],2023,
268,4,<,4,Ohio State (1),Big Ten,4-0,1357,*3,DNP,Week 5Oct 1[6],2023,
269,5,<,5,Florida State (4),ACC,4-0,1336,5,DNP,Week 5Oct 1[6],2023,
270,6,<,6,Penn State,Big Ten,5-0,1227,6,W 41-13 A Northwestern,Week 5Oct 1[6],2023,
271,7,<,7,Washington,Pac-12,5-0,1213,*8,W 31-24 A Arizona,Week 5Oct 1[6],2023,
272,8,<,9,Oregon,Pac-12,5-0,1113,9,W 42-6 A Stanford,Week 5Oct 1[6],2023,
273,9,<,8,USC,Pac-12,5-0,1077,7,W 48-41 A Colorado,Week 5Oct 1[6],2023,
274,10,<,11,Notre Dame,Ind,5-1,975,11,W 21-14 A #17 Duke,Week 5Oct 1[6],2023,
275,11,<,12,Alabama,SEC,4-1,921,10,W 40-17 A Mississippi State,Week 5Oct 1[6],2023,
276,12,<,14,Oklahoma,Big 12,5-0,840,12,W 50-20 H Iowa State,Week 5Oct 1[6],2023,
277,13,<,16,Washington State,Pac-12,4-0,765,14,DNP,Week 5Oct 1[6],2023,
278,14,<,15,North Carolina,ACC,4-0,726,13,DNP,Week 5Oct 1[6],2023,
279,15,<,19,Oregon State,Pac-12,4-1,633,16,W 21-7 H #10 Utah,Week 5Oct 1[6],2023,
280,16,<,20,Mississippi,SEC,4-1,616,15,W 55-49 H #13 LSU,Week 5Oct 1[6],2023,
281,17,<,18,Miami (FL),ACC,4-0,589,17,DNP,Week 5Oct 1[6],2023,
282,18,<,10,Utah,Pac-12,4-1,454,19,L 21-7 A #19 Oregon State,Week 5Oct 1[6],2023,
283,19,<,17,Duke,ACC,4-1,384,21,L 21-14 H #11 Notre Dame,Week 5Oct 1[6],2023,
284,20,<,NR,Kentucky,SEC,5-0,344,20,W 33-14 H #22 Florida,Week 5Oct 1[6],2023,
285,21,<,23,Missouri,SEC,5-0,329,22,W 38-21 A Vanderbilt,Week 5Oct 1[6],2023,
286,22,<,21,Tennessee,SEC,4-1,306,18,W 41-20 H South Carolina,Week 5Oct 1[6],2023,
287,23,<,13,LSU,SEC,3-2,149,23,L 55-49 A #20 Mississippi,Week 5Oct 1[6],2023,
288,24,<,25,Fresno State,MWC,5-0,130,24,W 27-9 H Nevada,Week 5Oct 1[6],2023,
289,25,<,NR,Louisville,ACC,5-0,90,25,W 13-10 A NC State,Week 5Oct 1[6],2023,
290,RV,<,NR,Maryland,Big Ten,,81,RV,W 44-17 H Indiana,Week 5Oct 1[6],2023,
291,RV,<,NR,Kansas State,Big 12,,44,RV,DNP,Week 5Oct 1[6],2023,
292,RV,<,NR,Texas A&M,SEC,,31,RV,W 34-22 N Arkansas,Week 5Oct 1[6],2023,
293,RV,<,NR,UCLA,Pac-12,,19,RV,DNP,Week 5Oct 1[6],2023,
294,RV,<,NR,Tulane,AAC,,8,RV,W 35-23 H UAB,Week 5Oct 1[6],2023,
295,RV,<,NR,Air Force,MWC,,7,RV,W 49-10 H San Diego State,Week 5Oct 1[6],2023,
296,RV,<,NR,Wisconsin,Big Ten,,6,RV,DNP,Week 5Oct 1[6],2023,
297,RV,<,NR,Clemson,ACC,,5,RV,W 31-14 A Syracuse,Week 5Oct 1[6],2023,
298,RV,<,NR,West Virginia,Big 12,,5,RV,W 24-21 A TCU,Week 5Oct 1[6],2023,
299,RV,<,24,Kansas,Big 12,,3,RV,L 40-14 A #3 Texas,Week 5Oct 1[6],2023,
300,RV,<,NR,James Madison,Sun Belt,,3,RV,W 31-23 H South Alabama,Week 5Oct 1[6],2023,
301,RV,<,NR,Colorado,Pac-12,,1,RV,L 48-41 H #8 USC,Week 5Oct 1[6],2023,
302,NR,<,22,Florida,SEC,,0,RV,L 33-14 A Kentucky,Week 5Oct 1[6],2023,
303,NR,<,NR,BYU,Big 12,,0,RV,W 35-27 H Cincinnati,Week 5Oct 1[6],2023,
304,NR,<,NR,Iowa,Big Ten,,0,RV,W 26-16 H Michigan State,Week 5Oct 1[6],2023,
305,NR,<,NR,Marshall,Sun Belt,,0,RV,W 41-35 H Old Dominion,Week 5Oct 1[6],2023,
306,NR,<,NR,Memphis,AAC,,0,RV,W 35-32 H Boise State,Week 5Oct 1[6],2023,
307,NR,<,NR,Ohio,MAC,,0,RV,DNP,Week 5Oct 1[6],2023,
308,NR,<,NR,Wyoming,MWC,,0,RV,W 35-26 H New Mexico,Week 5Oct 1[6],2023,
309,1,<,1,Georgia (50),SEC,6-0,1559,*1,W 51-13 H #20 Kentucky,Week 6Oct 8[7],2023,
310,2,<,2,Michigan (11),Big Ten,6-0,1489,2,W 52-10 A Minnesota,Week 6Oct 8[7],2023,
311,3,<,4,Ohio State (1),Big Ten,5-0,1408,*3,W 37-17 H Maryland,Week 6Oct 8[7],2023,
312,4,<,5,Florida State (1),ACC,5-0,1389,4,W 39-17 H Virginia Tech,Week 6Oct 8[7],2023,
313,5,<,12,Oklahoma,Big 12,6-0,1278,7,W 34-30 N #3 Texas,Week 6Oct 8[7],2023,
314,6,<,6,Penn State,Big Ten,5-0,1273,5,DNP,Week 6Oct 8[7],2023,
315,7,<,7,Washington,Pac-12,5-0,1239,*6,DNP,Week 6Oct 8[7],2023,
316,8,<,8,Oregon,Pac-12,5-0,1150,8,DNP,Week 6Oct 8[7],2023,
317,9,<,3,Texas,Big 12,5-1,1052,11,L 34-30 N #12 Oklahoma,Week 6Oct 8[7],2023,
318,10,<,9,USC,Pac-12,6-0,999,9,W 43-41 (3OT) H Arizona,Week 6Oct 8[7],2023,
319,11,<,11,Alabama,SEC,5-1,971,10,W 26-20 A Texas A&M,Week 6Oct 8[7],2023,
320,12,<,14,North Carolina,ACC,5-0,894,12,W 40-7 H Syracuse,Week 6Oct 8[7],2023,
321,13,<,16,Mississippi,SEC,5-1,748,13,W 27-20 H Arkansas,Week 6Oct 8[7],2023,
322,14,<,25,Louisville,ACC,6-0,731,15,W 33-20 H #10 Notre Dame,Week 6Oct 8[7],2023,
323,15,<,15,Oregon State,Pac-12,5-1,725,14,W 52-40 A California,Week 6Oct 8[7],2023,
324,16,<,18,Utah,Pac-12,4-1,567,16,DNP,Week 6Oct 8[7],2023,
325,17,<,19,Duke,ACC,4-1,479,18,DNP,Week 6Oct 8[7],2023,
326,18,<,NR,UCLA,Pac-12,4-1,438,22,W 25-17 H #13 Washington State,Week 6Oct 8[7],2023,
327,19,<,13,Washington State,Pac-12,4-1,412,19,L 25-17 A UCLA,Week 6Oct 8[7],2023,
328,19,<,22,Tennessee,SEC,4-1,412,17,DNP,Week 6Oct 8[7],2023,
329,21,<,10,Notre Dame,Ind,5-2,374,21,L 33-20 A #25 Louisville,Week 6Oct 8[7],2023,
330,22,<,23,LSU,SEC,4-2,321,20,W 49-39 A #21 Missouri,Week 6Oct 8[7],2023,
331,23,<,NR,Kansas,Big 12,5-1,103,24,W 51-22 H UCF,Week 6Oct 8[7],2023,
332,24,<,20,Kentucky,SEC,5-1,99,23,L 51-13 A #1 Georgia,Week 6Oct 8[7],2023,
333,25,<,17,Miami (FL),ACC,4-1,74,RV,L 23-20 H Georgia Tech,Week 6Oct 8[7],2023,
334,RV,<,21,Missouri,SEC,,69,25,L 49-39 H #23 LSU,Week 6Oct 8[7],2023,
335,RV,<,NR,Wyoming,MWC,,42,RV,W 24-19 H #24 Fresno State,Week 6Oct 8[7],2023,
336,RV,<,NR,Air Force,MWC,,41,RV,DNP,Week 6Oct 8[7],2023,
337,RV,<,NR,Wisconsin,Big Ten,,41,RV,W 24-13 H Rutgers,Week 6Oct 8[7],2023,
338,RV,<,NR,Tulane,AAC,,27,RV,DNP,Week 6Oct 8[7],2023,
339,RV,<,NR,West Virginia,Big 12,,26,RV,DNP,Week 6Oct 8[7],2023,
340,RV,<,NR,Clemson,ACC,,17,RV,W 17-12 H Wake Forest,Week 6Oct 8[7],2023,
341,RV,<,NR,Maryland,Big Ten,,9,RV,L 37-17 A #4 Ohio State,Week 6Oct 8[7],2023,
342,RV,<,NR,Iowa,Big Ten,,7,RV,W 20-14 H Purdue,Week 6Oct 8[7],2023,
343,RV,<,NR,James Madison,Sun Belt,,7,RV,DNP,Week 6Oct 8[7],2023,
344,RV,<,NR,Texas A&M,SEC,,5,RV,L 26-20 H #11 Alabama,Week 6Oct 8[7],2023,
345,NR,<,24,Fresno State,MWC,,0,RV,L 24-19 A Wyoming,Week 6Oct 8[7],2023,
346,NR,<,NR,BYU,Big 12,,0,RV,DNP,Week 6Oct 8[7],2023,
347,NR,<,NR,Florida,SEC,,0,RV,W 38-14 H Vanderbilt,Week 6Oct 8[7],2023,
348,NR,<,NR,Liberty,CUSA,,0,RV,W 21-16 H Sam Houston,Week 6Oct 8[7],2023,
349,NR,<,NR,Memphis,AAC,,0,RV,DNP,Week 6Oct 8[7],2023,
350,NR,<,NR,Ohio,MAC,,0,RV,W 42-17 H Kent State,Week 6Oct 8[7],2023,
351,1,<,1,Georgia (43),SEC,7-0,1541,*1,W 37-20 A Vanderbilt,Week 7Oct 15[8],2023,
352,2,<,2,Michigan (16),Big Ten,7-0,1492,*2,W 52-7 H Indiana,Week 7Oct 15[8],2023,
353,3,<,3,Ohio State (1),Big Ten,6-0,1393,*3,W 41-7 A Purdue,Week 7Oct 15[8],2023,
354,4,<,4,Florida State (1),ACC,6-0,1388,4,W 41-3 H Syracuse,Week 7Oct 15[8],2023,
355,5,<,7,Washington (2),Pac-12,6-0,1355,5,W 36-33 H #8 Oregon,Week 7Oct 15[8],2023,
356,6,<,5,Oklahoma,Big 12,6-0,1277,*7,DNP,Week 7Oct 15[8],2023,
357,7,<,6,Penn State,Big Ten,6-0,1253,6,W 63-0 H Massachusetts,Week 7Oct 15[8],2023,
358,8,<,9,Texas,Big 12,5-1,1098,8,DNP,Week 7Oct 15[8],2023,
359,9,<,8,Oregon,Pac-12,5-1,1034,11,L 36-33 A #7 Washington,Week 7Oct 15[8],2023,
360,10,<,12,North Carolina,ACC,6-0,1011,10,W 41-31 H #25 Miami (FL),Week 7Oct 15[8],2023,
361,11,<,11,Alabama,SEC,6-1,987,8,W 24-21 H Arkansas,Week 7Oct 15[8],2023,
362,12,<,15,Oregon State,Pac-12,6-1,834,13,W 36-24 H #18 UCLA,Week 7Oct 15[8],2023,
363,13,<,13,Mississippi,SEC,5-1,825,12,DNP,Week 7Oct 15[8],2023,
364,14,<,16,Utah,Pac-12,5-1,695,14,W 34-14 H California,Week 7Oct 15[8],2023,
365,15,<,21,Notre Dame,Ind,6-2,664,18,W 48-20 H #10 USC,Week 7Oct 15[8],2023,
366,16,<,17,Duke,ACC,5-1,593,17,W 24-3 H NC State,Week 7Oct 15[8],2023,
367,17,<,19,Tennessee,SEC,5-1,557,15,W 20-13 H Texas A&M,Week 7Oct 15[8],2023,
368,18,<,10,USC,Pac-12,6-1,530,16,L 48-20 A #21 Notre Dame,Week 7Oct 15[8],2023,
369,19,<,22,LSU,SEC,5-2,493,19,W 48-18 H Auburn,Week 7Oct 15[8],2023,
370,20,<,NR,Missouri,SEC,6-1,365,20,W 38-21 A #24 Kentucky,Week 7Oct 15[8],2023,
371,21,<,14,Louisville,ACC,6-1,309,21,L 38-21 A Pittsburgh,Week 7Oct 15[8],2023,
372,22,<,NR,Air Force,MWC,6-0,245,22,W 34-27 H Wyoming,Week 7Oct 15[8],2023,
373,23,<,NR,Tulane,AAC,5-1,137,24,W 31-21 A Memphis,Week 7Oct 15[8],2023,
374,24,<,NR,Iowa,Big Ten,6-1,125,23,W 15-6 A Wisconsin,Week 7Oct 15[8],2023,
375,25,<,18,UCLA,Pac-12,4-2,122,25,L 36-24 A #15 Oregon State,Week 7Oct 15[8],2023,
376,RV,<,NR,James Madison,Sun Belt,,70,RV,W 41-13 H Georgia Southern,Week 7Oct 15[8],2023,
377,RV,<,NR,Clemson,ACC,,35,RV,DNP,Week 7Oct 15[8],2023,
378,RV,<,NR,Florida,SEC,,12,RV,W 41-39 A South Carolina,Week 7Oct 15[8],2023,
379,RV,<,19,Washington State,Pac-12,,11,RV,L 44-6 H Arizona,Week 7Oct 15[8],2023,
380,RV,<,NR,Fresno State,MWC,,6,RV,W 37-32 A Utah State,Week 7Oct 15[8],2023,
381,RV,<,NR,Liberty,CUSA,,5,RV,W 31-13 A Jacksonville State,Week 7Oct 15[8],2023,
382,RV,<,24,Kentucky,SEC,,4,RV,L 38-21 H Missouri,Week 7Oct 15[8],2023,
383,RV,<,NR,Wyoming,MWC,,4,RV,L 34-27 A Air Force,Week 7Oct 15[8],2023,
384,RV,<,23,Kansas,Big 12,,2,RV,L 39-32 A Oklahoma State,Week 7Oct 15[8],2023,
385,RV,<,25,Miami (FL),ACC,,1,RV,L 41-31 A #12 North Carolina,Week 7Oct 15[8],2023,
386,RV,<,NR,Oklahoma State,Big 12,,1,RV,W 39-32 H #23 Kansas,Week 7Oct 15[8],2023,
387,RV,<,NR,West Virginia,Big 12,,1,RV,L 41-39 A Houston,Week 7Oct 15[8],2023,
388,NR,<,NR,Arizona,Pac-12,,0,RV,W 44-6 A #19 Washington State,Week 7Oct 15[8],2023,
389,NR,<,NR,Kansas State,Big 12,,0,RV,W 38-21 A Texas Tech,Week 7Oct 15[8],2023,
390,NR,<,NR,Maryland,Big Ten,,0,RV,L 27-24 H Illinois,Week 7Oct 15[8],2023,
391,NR,<,NR,Memphis,AAC,,0,RV,L 31-21 H Tulane,Week 7Oct 15[8],2023,
392,NR,<,NR,Texas A&M,SEC,,0,RV,L 20-13 A #19 Tennessee,Week 7Oct 15[8],2023,
393,NR,<,NR,UNLV,MWC,,0,RV,W 45-27 A Nevada,Week 7Oct 15[8],2023,
394,1,<,1,Georgia (38),SEC,7-0,1536,1,DNP,Week 8Oct 22[9],2023,
395,2,<,2,Michigan (19),Big Ten,8-0,1504,2,W 49-0 A Michigan State,Week 8Oct 22[9],2023,
396,3,<,3,Ohio State (3),Big Ten,7-0,1454,3,W 20-12 H #7 Penn State,Week 8Oct 22[9],2023,
397,4,<,4,Florida State (3),ACC,7-0,1408,4,W 38-20 H #16 Duke,Week 8Oct 22[9],2023,
398,5,<,5,Washington,Pac-12,7-0,1325,5,W 15-7 H Arizona State,Week 8Oct 22[9],2023,
399,6,<,6,Oklahoma,Big 12,7-0,1267,6,W 31-29 H UCF,Week 8Oct 22[9],2023,
400,7,<,8,Texas,Big 12,6-1,1150,7,W 31-24 A Houston,Week 8Oct 22[9],2023,
401,8,<,9,Oregon,Pac-12,6-1,1133,9,W 38-24 H Washington State,Week 8Oct 22[9],2023,
402,9,<,11,Alabama,SEC,7-1,1071,8,W 34-20 H #17 Tennessee,Week 8Oct 22[9],2023,
403,10,<,7,Penn State,Big Ten,6-1,999,10,L 20-12 A #3 Ohio State,Week 8Oct 22[9],2023,
404,11,<,12,Oregon State,Pac-12,6-1,922,12,DNP,Week 8Oct 22[9],2023,
405,12,<,13,Mississippi,SEC,6-1,889,11,W 28-21 A Auburn,Week 8Oct 22[9],2023,
406,13,<,14,Utah,Pac-12,6-1,868,13,W 34-32 A #18 USC,Week 8Oct 22[9],2023,
407,14,<,15,Notre Dame,Ind,6-2,718,14,DNP,Week 8Oct 22[9],2023,
408,15,<,19,LSU,SEC,6-2,687,15,W 62-0 H Army,Week 8Oct 22[9],2023,
409,16,<,20,Missouri,SEC,7-1,594,16,W 34-12 H South Carolina,Week 8Oct 22[9],2023,
410,17,<,10,North Carolina,ACC,6-1,506,17,L 31-27 H Virginia,Week 8Oct 22[9],2023,
411,18,<,21,Louisville,ACC,6-1,420,18,DNP,Week 8Oct 22[9],2023,
412,19,<,22,Air Force,MWC,7-0,395,19,W 17-6 A Navy,Week 8Oct 22[9],2023,
413,20,<,16,Duke,ACC,5-2,371,21,L 38-20 A #4 Florida State,Week 8Oct 22[9],2023,
414,21,<,17,Tennessee,SEC,5-2,306,20,L 34-20 A #11 Alabama,Week 8Oct 22[9],2023,
415,22,<,23,Tulane,AAC,6-1,248,23,W 35-28 H North Texas,Week 8Oct 22[9],2023,
416,23,<,25,UCLA,Pac-12,5-2,243,24,W 42-7 A Stanford,Week 8Oct 22[9],2023,
417,24,<,18,USC,Pac-12,6-2,193,22,,Week 8Oct 22[9],2023,
418,25,<,NR,James Madison,Sun Belt,7-0,167,25,W 20-9 A Marshall,Week 8Oct 22[9],2023,
419,RV,<,NR,Florida,SEC,,34,RV,DNP,Week 8Oct 22[9],2023,
420,RV,<,NR,Liberty,CUSA,,17,RV,W 42-35 H Middle Tennessee,Week 8Oct 22[9],2023,
421,RV,<,NR,Kansas State,Big 12,,16,RV,W 41-3 H TCU,Week 8Oct 22[9],2023,
422,RV,<,NR,Miami (FL),ACC,,12,RV,W 28-20 (2OT) H Clemson,Week 8Oct 22[9],2023,
423,RV,<,NR,Fresno State,MWC,,8,RV,DNP,Week 8Oct 22[9],2023,
424,RV,<,NR,Oklahoma State,Big 12,,5,RV,W 48-34 A West Virginia,Week 8Oct 22[9],2023,
425,RV,<,NR,Toledo,MAC,,3,RV,W 21-17 A Miami (OH),Week 8Oct 22[9],2023,
426,RV,<,NR,Kentucky,SEC,,2,RV,DNP,Week 8Oct 22[9],2023,
427,RV,<,NR,Rutgers,Big Ten,,2,NR,W 31-14 A Indiana,Week 8Oct 22[9],2023,
428,RV,<,NR,UNLV,MWC,,1,RV,W 25-23 H Colorado State,Week 8Oct 22[9],2023,
429,RV,<,NR,Wisconsin,Big Ten,,1,RV,W 25-21 A Illinois,Week 8Oct 22[9],2023,
430,NR,<,24,Iowa,Big Ten,,0,RV,L 12-10 H Minnesota,Week 8Oct 22[9],2023,
431,NR,<,NR,Arizona,Pac-12,,0,RV,DNP,Week 8Oct 22[9],2023,
432,NR,<,NR,Clemson,ACC,,0,RV,L 28-20 (2OT) A Miami (FL),Week 8Oct 22[9],2023,
433,NR,<,NR,Kansas,Big 12,,0,RV,DNP,Week 8Oct 22[9],2023,
434,NR,<,NR,Maryland,Big Ten,,0,RV,DNP,Week 8Oct 22[9],2023,
435,NR,<,NR,SMU,AAC,,0,RV,W 55-0 A Temple,Week 8Oct 22[9],2023,
436,NR,<,NR,Wyoming,MWC,,0,RV,DNP,Week 8Oct 22[9],2023,
437,1,<,1,Georgia (48),SEC,8-0,1553,*1,W 43-20 N Florida,Week 9Oct 29[10],2023,2
438,2,<,2,Michigan (9),Big Ten,8-0,1494,*2,DNP,Week 9Oct 29[10],2023,3
439,3,<,3,Ohio State (3),Big Ten,8-0,1446,*3,W 24-10 A Wisconsin,Week 9Oct 29[10],2023,1
440,4,<,4,Florida State (3),ACC,8-0,1421,4,W 41-16 A Wake Forest,Week 9Oct 29[10],2023,4
441,5,<,5,Washington,Pac-12,8-0,1327,5,W 42-33 A Stanford,Week 9Oct 29[10],2023,5
442,6,<,8,Oregon,Pac-12,7-1,1235,7,W 35-6 A #13 Utah,Week 9Oct 29[10],2023,6
443,7,<,7,Texas,Big 12,7-1,1189,6,W 35-6 H BYU,Week 9Oct 29[10],2023,7
444,8,<,9,Alabama,SEC,7-1,1114,8,DNP,Week 9Oct 29[10],2023,8
445,9,<,10,Penn State,Big Ten,7-1,1044,9,W 33-24 H Indiana,Week 9Oct 29[10],2023,11
446,10,<,6,Oklahoma,Big 12,7-1,1010,11,L 38-33 A Kansas,Week 9Oct 29[10],2023,9
447,11,<,12,Mississippi,SEC,7-1,990,10,W 33-7 H Vanderbilt,Week 9Oct 29[10],2023,10
448,12,<,14,Notre Dame,Ind,7-2,847,12,W 58-7 H Pittsburgh,Week 9Oct 29[10],2023,15
449,13,<,15,LSU,SEC,6-2,816,13,DNP,Week 9Oct 29[10],2023,14
450,14,<,16,Missouri,SEC,7-1,714,14,DNP,Week 9Oct 29[10],2023,12
451,15,<,18,Louisville,ACC,7-1,666,15,W 23-0 H #20 Duke,Week 9Oct 29[10],2023,13
452,16,<,11,Oregon State,Pac-12,6-2,557,19,L 27-24 A Arizona,Week 9Oct 29[10],2023,16
453,17,<,19,Air Force,MWC,8-0,526,17,W 30-13 A Colorado State,Week 9Oct 29[10],2023,25
454,18,<,13,Utah,Pac-12,6-2,510,18,L 35-6 H #8 Oregon,Week 9Oct 29[10],2023,18
455,19,<,21,Tennessee,SEC,6-2,473,16,W 33-27 A Kentucky,Week 9Oct 29[10],2023,17
456,20,<,23,UCLA,Pac-12,6-2,331,20,W 28-16 H Colorado,Week 9Oct 29[10],2023,19
457,21,<,22,Tulane,AAC,7-1,303,21,W 30-28 A Rice,Week 9Oct 29[10],2023,24
458,22,<,NR,Kansas,Big 12,6-2,250,23,W 38-33 H #6 Oklahoma,Week 9Oct 29[10],2023,21
459,23,<,25,James Madison,Sun Belt,8-0,192,24,W 30-27 H Old Dominion,Week 9Oct 29[10],2023,NR
460,24,<,24,USC,Pac-12,7-2,139,22,W 50-49 A California,Week 9Oct 29[10],2023,20
461,25,<,NR,Kansas State,Big 12,6-2,112,RV,W 41-0 H Houston,Week 9Oct 29[10],2023,23
462,RV,<,NR,Oklahoma State,Big 12,,77,RV,W 45-13 H Cincinnati,Week 9Oct 29[10],2023,22
463,RV,<,17,North Carolina,ACC,,54,25,L 46-42 A Georgia Tech,Week 9Oct 29[10],2023,NR
464,RV,<,NR,Liberty,CUSA,,47,RV,W 42-29 A Western Kentucky,Week 9Oct 29[10],2023,NR
465,RV,<,NR,Fresno State,MWC,,16,RV,W 31-24 H UNLV,Week 9Oct 29[10],2023,NR
466,RV,<,NR,Miami (FL),ACC,,11,RV,W 29-26 (1OT) H Virginia,Week 9Oct 29[10],2023,NR
467,RV,<,NR,Arizona,Pac-12,,6,RV,W 27-24 H #11 Oregon State,Week 9Oct 29[10],2023,NR
468,RV,<,NR,Toledo,MAC,,3,RV,DNP,Week 9Oct 29[10],2023,NR
469,RV,<,NR,Rutgers,Big Ten,,2,NR,DNP,Week 9Oct 29[10],2023,NR
470,NR,<,20,Duke,ACC,,0,RV,L 23-0 A #18 Louisville,Week 9Oct 29[10],2023,NR
471,NR,<,NR,Florida,SEC,,0,RV,L 43-20 N #1 Georgia,Week 9Oct 29[10],2023,NR
472,NR,<,NR,Iowa,Big Ten,,0,RV,DNP,Week 9Oct 29[10],2023,NR
473,NR,<,NR,Kentucky,SEC,,0,RV,L 33-27 H #21 Tennessee,Week 9Oct 29[10],2023,NR
474,NR,<,NR,SMU,AAC,,0,RV,W 69-10 H Tulsa,Week 9Oct 29[10],2023,NR
475,NR,<,NR,UNLV,MWC,,0,RV,L 31-24 A Fresno State,Week 9Oct 29[10],2023,NR
476,1,<,1,Georgia (49),SEC,9-0,1558,*1,W 30-21 H #14 Missouri,Week 10Nov 5[11],2023,2
477,2,<,2,Michigan (9),Big Ten,9-0,1485,*2,W 41-13 H Purdue,Week 10Nov 5[11],2023,3
478,3,<,3,Ohio State (3),Big Ten,9-0,1453,*3,W 35-16 A Rutgers,Week 10Nov 5[11],2023,1
479,4,<,4,Florida State (2),ACC,9-0,1411,4,W 24-7 A Pittsburgh,Week 10Nov 5[11],2023,4
480,5,<,5,Washington,Pac-12,9-0,1333,5,W 52-42 A #24 USC,Week 10Nov 5[11],2023,5
481,6,<,6,Oregon,Pac-12,8-1,1240,6,W 63-19 H California,Week 10Nov 5[11],2023,6
482,7,<,7,Texas,Big 12,8-1,1190,7,W 33-30 (1OT) H #25 Kansas State,Week 10Nov 5[11],2023,7
483,8,<,8,Alabama,SEC,8-1,1143,8,W 42-28 H #13 LSU,Week 10Nov 5[11],2023,8
484,9,<,9,Penn State,Big Ten,8-1,1075,9,W 51-15 A Maryland,Week 10Nov 5[11],2023,10
485,10,<,11,Mississippi,SEC,8-1,1027,10,W 38-35 H Texas A&M,Week 10Nov 5[11],2023,9
486,11,<,15,Louisville,ACC,8-1,926,11,W 34-3 H Virginia Tech,Week 10Nov 5[11],2023,11
487,12,<,16,Oregon State,Pac-12,7-2,772,13,W 26-19 A Colorado,Week 10Nov 5[11],2023,12
488,13,<,18,Utah,Pac-12,7-2,734,14,W 55-3 H Arizona State,Week 10Nov 5[11],2023,18
489,14,<,19,Tennessee,SEC,7-2,703,12,W 59-3 H Connecticut,Week 10Nov 5[11],2023,13
490,15,<,NR,Oklahoma State,Big 12,7-2,660,17,W 27-24 H #10 Oklahoma,Week 10Nov 5[11],2023,15
491,16,<,14,Missouri,SEC,7-2,644,15,L 30-21 A #1 Georgia,Week 10Nov 5[11],2023,14
492,17,<,10,Oklahoma,Big 12,7-2,547,16,L 27-24 A Oklahoma State,Week 10Nov 5[11],2023,17
493,18,<,13,LSU,SEC,6-3,532,19,L 42-28 A #8 Alabama,Week 10Nov 5[11],2023,19
494,19,<,22,Kansas,Big 12,7-2,496,18,W 28-21 A Iowa State,Week 10Nov 5[11],2023,16
495,20,<,21,Tulane,AAC,8-1,351,20,W 13-10 A East Carolina,Week 10Nov 5[11],2023,23
496,21,<,23,James Madison,Sun Belt,9-0,294,21,W 42-14 A Georgia State,Week 10Nov 5[11],2023,NR
497,22,<,12,Notre Dame,Ind,7-3,270,22,L 31-23 A Clemson,Week 10Nov 5[11],2023,20
498,23,<,NR,Arizona,Pac-12,6-3,176,24,W 27-10 H #20 UCLA,Week 10Nov 5[11],2023,21
499,24,<,NR,North Carolina,ACC,7-2,95,23,W 59-7 H Campbell,Week 10Nov 5[11],2023,24
500,25,<,NR,Liberty,CUSA,9-0,85,RV,W 56-30 H Louisiana Tech,Week 10Nov 5[11],2023,NR
501,RV,<,25,Kansas State,Big 12,,73,RV,L 33-30 (1OT) A #7 Texas,Week 10Nov 5[11],2023,25
502,RV,<,NR,Fresno State,MWC,,73,25,W 37-30 H Boise State,Week 10Nov 5[11],2023,NR
503,RV,<,24,USC,Pac-12,,46,RV,L 52-42 H #5 Washington,Week 10Nov 5[11],2023,NR
504,RV,<,17,Air Force,MWC,,26,RV,L 23-3 H Army,Week 10Nov 5[11],2023,NR
505,RV,<,NR,Toledo,MAC,,25,RV,W 31-13 H Buffalo,Week 10Nov 5[11],2023,NR
506,RV,<,20,UCLA,Pac-12,,11,RV,L 27-10 A Arizona,Week 10Nov 5[11],2023,NR
507,RV,<,NR,Iowa,Big Ten,,6,RV,W 10-7 A Northwestern,Week 10Nov 5[11],2023,22
508,RV,<,NR,SMU,AAC,,5,RV,W 36-31 A Rice,Week 10Nov 5[11],2023,NR
509,RV,<,NR,Duke,ACC,,4,RV,W 24-21 H Wake Forest,Week 10Nov 5[11],2023,NR
510,RV,<,NR,West Virginia,Big 12,,3,RV,W 37-7 H BYU,Week 10Nov 5[11],2023,NR
