,date,season,week,neutral,homeTeam,homeTeamId,awayTeam,awayTeamId,homeScore,awayScore,result,spreadClose,overUnderClose,homeMoneyline,awayMoneyline,homeTeamRank,homeTeamPoints,awayTeamRank,awayTeamPoints
3872,2012-09-22,2012,4,False,Oklahoma,201,KansasState,2306,19,24,0,15.5,56.5,-600.0,450.0,6.0,1181.0,15.0,683.0
4251,2012-11-10,2012,11,False,Alabama,333,TexasA&M,245,24,29,0,13.5,55.0,-510.0,405.0,1.0,1500.0,15.0,700.0
4319,2012-11-17,2012,12,False,Oregon,2483,Stanford,24,14,17,0,18.5,67.5,-1000.0,700.0,1.0,1485.0,14.0,766.0
4397,2012-11-24,2012,13,False,Clemson,228,SouthCarolina,2579,17,27,0,6.5,61.5,-260.0,220.0,12.0,874.0,13.0,795.0
4820,2013-10-12,2013,7,False,Georgia,61,Missouri,142,26,41,0,6.5,66.0,-265.0,215.0,7.0,1138.0,25.0,105.0
4863,2013-10-19,2013,8,False,TexasA&M,245,Auburn,2,41,45,0,13.0,72.5,-525.0,400.0,7.0,1105.0,24.0,156.0
4937,2013-10-26,2013,9,False,Missouri,142,SouthCarolina,2579,24,27,0,3.0,53.0,-150.0,130.0,5.0,1197.0,20.0,381.0
5227,2013-12-07,2013,15,False,OklahomaState,197,Oklahoma,201,24,33,0,10.0,57.0,-385.0,305.0,6.0,1197.0,18.0,503.0
5234,2014-08-28,2014,1,False,SouthCarolina,2579,TexasA&M,245,28,52,0,9.0,60.5,-330.0,270.0,9.0,1015.0,21.0,238.0
5336,2014-09-06,2014,2,False,Stanford,24,USC,30,10,13,0,3.0,52.5,-160.0,135.0,13.0,886.0,14.0,729.0
5708,2014-10-18,2014,8,False,Oklahoma,201,KansasState,2306,30,31,0,7.0,54.0,-285.0,235.0,11.0,935.0,14.0,626.0
5869,2014-11-08,2014,11,False,MichiganState,127,OhioState,194,37,49,0,4.5,55.5,-195.0,170.0,7.0,1120.0,13.0,780.0
6028,2014-11-29,2014,14,False,Georgia,61,GeorgiaTech,59,24,30,0,10.5,67.0,-407.0,348.0,8.0,1002.0,16.0,581.0
6245,2015-09-19,2015,3,False,Alabama,333,Mississippi,145,37,43,0,9.0,52.0,-330.0,270.0,2.0,1423.0,15.0,713.0
6331,2015-09-26,2015,4,False,Oregon,2483,Utah,254,20,62,0,10.0,63.0,-375.0,305.0,13.0,855.0,18.0,439.0
6732,2015-11-14,2015,11,False,Baylor,239,Oklahoma,201,34,44,0,2.0,75.5,-130.0,110.0,4.0,1351.0,12.0,858.0
6782,2015-11-21,2015,12,False,OhioState,194,MichiganState,127,14,17,0,14.5,52.5,-690.0,540.0,2.0,1460.0,9.0,1008.0
7128,2016-09-24,2016,4,False,MichiganState,127,Wisconsin,275,6,30,0,3.5,43.0,-180.0,160.0,8.0,1084.0,11.0,828.0
7249,2016-10-08,2016,6,False,MiamiFlorida,2390,FloridaState,52,19,20,0,1.5,62.0,-124.0,104.0,10.0,909.0,23.0,230.0
7616,2016-11-19,2016,12,False,LSU,99,Florida,57,10,16,0,13.5,37.5,-600.0,450.0,16.0,582.0,21.0,435.0
7836,2017-09-09,2017,2,False,OhioState,194,Oklahoma,201,16,31,0,8.0,64.0,-295.0,241.0,2.0,1445.0,5.0,1253.0
7971,2017-09-23,2017,4,False,OklahomaState,197,TCU,2628,31,44,0,10.0,67.5,-350.0,275.0,6.0,1154.0,16.0,553.0
8626,2018-09-03,2018,1,False,FloridaState,52,VirginiaTech,259,3,24,0,7.5,54.5,-324.0,262.0,19.0,384.0,20.0,351.0
8728,2018-09-15,2018,3,False,Auburn,2,LSU,99,21,22,0,10.0,45.5,-400.0,300.0,7.0,1224.0,12.0,830.0
9321,2018-11-22,2018,13,False,WashingtonState,265,Washington,264,15,28,0,3.0,51.0,-155.0,135.0,7.0,1149.0,16.0,631.0
9336,2018-11-23,2018,13,False,WashingtonState,265,Washington,264,15,28,0,3.0,50.0,-159.0,139.0,7.0,1149.0,16.0,631.0
9385,2018-12-01,2018,14,False,BoiseState,68,FresnoState,278,16,19,0,1.0,51.0,-120.0,100.0,19.0,409.0,25.0,102.0
10875,2019-12-06,2019,15,False,Utah,254,Oregon,2483,15,37,0,6.5,45.0,-270.0,220.0,5.0,1275.0,13.0,799.0
11204,2020-11-07,2020,9,False,Georgia,61,Florida,57,28,44,0,3.0,54.5,-140.0,120.0,5.0,1289.0,8.0,1066.0
11424,2020-12-12,2020,14,False,MiamiFlorida,2390,NorthCarolina,153,26,62,0,3.5,72.0,-170.0,150.0,9.0,1039.0,20.0,306.0
11459,2020-12-26,2020,16,False,CoastalCarolina,324,Liberty,2335,34,37,0,6.5,60.0,-265.0,225.0,9.0,1024.0,23.0,207.0
11472,2021-01-01,2020,16,False,Clemson,228,OhioState,194,28,49,0,7.5,68.5,-275.0,235.0,2.0,1482.0,3.0,1424.0
11768,2021-09-04,2021,1,False,Wisconsin,275,PennState,213,10,16,0,5.5,48.5,-220.0,190.0,12.0,743.0,19.0,456.0
11849,2021-09-11,2021,2,False,OhioState,194,Oregon,2483,28,35,0,14.5,64.5,-700.0,500.0,3.0,1437.0,12.0,883.0
11869,2021-09-11,2021,2,False,IowaState,66,Iowa,2294,17,27,0,4.5,45.0,-185.0,165.0,9.0,1045.0,10.0,942.0
13346,2022-09-10,2022,2,False,PittsburghU,221,TennesseeU,2633,27,34,0,63.0,6.0,190.0,220.0,17.0,535.0,24.0,194.0
13360,2022-09-10,2022,2,False,Florida,57,Kentucky,96,16,26,0,53.0,6.0,240.0,200.0,12.0,763.0,20.0,373.0
14386,2022-11-12,2022,11,False,Oregon,2483,Washington,264,34,37,0,12.0,74.0,-450.0,375.0,6.0,1258.0,24.0,187.0
