,Year,Date,Home,HomeRank,Away,AwayRank,Result,HomePTS,AwayPTS,MOV
3099,1982-83,1983-02-19,Ohio State,20,Iowa,16,1,85,69,16
3100,1977-78,1978-01-17,New Mexico,20,Nevada-Las Vegas,16,1,89,76,13
3101,1973-74,1974-01-28,Michigan,20,Wisconsin,16,1,83,75,8
3102,1995-96,1996-01-31,Michigan,20,Purdue,17,0,59,80,-21
3103,1986-87,1986-12-15,Temple,20,UCLA,17,1,76,65,11
3104,1956-57,1957-01-05,Memphis,20,Oklahoma City,17,0,68,80,-12
3105,2014-15,2014-12-04,Iowa State,20,Arkansas,18,1,95,77,18
3106,2013-14,2014-03-08,Memphis,20,Southern Methodist,18,1,67,58,9
3107,2006-07,2007-02-01,Arizona,20,Washington State,18,0,66,72,-6
3108,1999-00,2000-01-22,Vanderbilt,20,Kentucky,18,0,73,81,-8
3109,1998-99,1999-02-27,Indiana,20,Iowa,18,1,88,81,7
3110,1997-98,1997-12-09,Temple,20,Fresno State,18,1,76,61,15
3111,1991-92,1992-01-25,Louisville,20,Georgia Tech,18,0,65,73,-8
3112,1986-87,1987-01-07,Clemson,20,NC State,18,1,73,69,4
3113,1982-83,1983-02-10,Iowa,20,Purdue,18,1,55,46,9
3114,1972-73,1973-02-17,Brigham Young,20,New Mexico,18,0,66,76,-10
3115,1954-55,1955-02-19,Vanderbilt,20,Tennessee,18,1,76,71,5
3116,1950-51,1951-03-09,Villanova,20,Siena,18,1,78,57,21
3117,2022-23,2023-03-01,Providence,20,Xavier,19,0,89,94,-5
3118,2020-21,2021-01-12,Virginia Tech,20,Duke,19,1,74,67,7
3119,2017-18,2018-01-30,Clemson,20,North Carolina,19,1,82,78,4
3120,2014-15,2015-01-31,Baylor,20,Texas,19,1,83,60,23
3121,2003-04,2004-02-07,Kansas,20,Texas Tech,19,1,96,77,19
3122,1985-86,1986-02-10,Virginia Tech,20,Louisville,19,0,83,93,-10
3123,1958-59,1959-02-16,Purdue,20,Indiana,19,1,94,89,5
3124,2016-17,2017-01-30,Notre Dame,20,Duke,21,0,74,84,-10
3125,2010-11,2011-03-01,Kentucky,20,Vanderbilt,21,1,68,66,2
3126,2022-23,2023-01-18,Marquette,20,Providence,22,1,83,75,8
