,FakeMatchupPair,games,wins,WinPct,HomeRank,AwayRank,P-Value
120,6-13,18,12,0.6666666666666666,11-12,25-26,0.1189422607421875
121,6-2,36,15,0.4166666666666667,11-12,3-4,0.2025161230703816
122,6-3,29,18,0.6206896551724138,11-12,5-6,0.132465448230505
123,6-4,26,17,0.6538461538461539,11-12,7-8,0.08431877195835114
124,6-5,32,26,0.8125,11-12,9-10,0.0002675263676792383
125,6-6,22,14,0.6363636363636364,11-12,11-12,0.14313936233520508
126,6-7,26,14,0.5384615384615384,11-12,13-14,0.42250949144363403
127,6-8,18,12,0.6666666666666666,11-12,15-16,0.1189422607421875
128,6-9,33,24,0.7272727272727273,11-12,17-18,0.0067654934246093035
129,7-1,13,2,0.15384615384615385,13-14,1-2,0.01123046875
130,7-10,29,21,0.7241379310344828,13-14,19-20,0.01205977238714695
131,7-11,22,17,0.7727272727272727,13-14,21-22,0.00845026969909668
132,7-12,12,10,0.8333333333333334,13-14,23-24,0.019287109375
133,7-13,15,10,0.6666666666666666,13-14,25-26,0.15087890625
134,7-2,32,16,0.5,13-14,3-4,0.5699749670457095
135,7-3,37,22,0.5945945945945946,13-14,5-6,0.1620043000439182
136,7-4,18,11,0.6111111111111112,13-14,7-8,0.2403411865234375
137,7-5,33,21,0.6363636363636364,13-14,9-10,0.08137782872654498
138,7-6,30,19,0.6333333333333333,13-14,11-12,0.10024421103298664
139,7-7,10,6,0.6,13-14,13-14,0.376953125
140,7-8,25,18,0.72,13-14,15-16,0.021642625331878662
141,7-9,25,18,0.72,13-14,17-18,0.021642625331878662
142,8-1,9,3,0.3333333333333333,15-16,1-2,0.25390625
143,8-10,31,28,0.9032258064516129,15-16,19-20,2.3245811462402344e-06
144,8-11,31,23,0.7419354838709677,15-16,21-22,0.005336920265108347
145,8-12,14,8,0.5714285714285714,15-16,23-24,0.395263671875
146,8-13,20,18,0.9,15-16,25-26,0.00020122528076171875
147,8-2,28,14,0.5,15-16,3-4,0.5747229903936386
148,8-3,21,12,0.5714285714285714,15-16,5-6,0.33181190490722656
149,8-4,26,14,0.5384615384615384,15-16,7-8,0.42250949144363403
150,8-5,32,21,0.65625,15-16,9-10,0.055092082591727376
151,8-6,17,8,0.47058823529411764,15-16,11-12,0.5
152,8-7,26,12,0.46153846153846156,15-16,13-14,0.42250949144363403
153,8-8,14,12,0.8571428571428571,15-16,15-16,0.0064697265625
154,8-9,37,26,0.7027027027027027,15-16,17-18,0.010036925959866494
155,9-1,18,6,0.3333333333333333,17-18,1-2,0.1189422607421875
156,9-10,21,14,0.6666666666666666,17-18,19-20,0.09462356567382812
157,9-11,22,15,0.6818181818181818,17-18,21-22,0.06690025329589844
158,9-12,21,15,0.7142857142857143,17-18,23-24,0.03917694091796875
159,9-13,19,14,0.7368421052631579,17-18,25-26,0.0317840576171875
160,9-2,23,8,0.34782608695652173,17-18,3-4,0.10501980781555176
161,9-3,27,14,0.5185185185185185,17-18,5-6,0.5
162,9-4,21,13,0.6190476190476191,17-18,7-8,0.19165515899658203
163,9-5,29,18,0.6206896551724138,17-18,9-10,0.132465448230505
164,9-6,29,16,0.5517241379310345,17-18,11-12,0.355535551905632
165,9-7,26,17,0.6538461538461539,17-18,13-14,0.08431877195835114
166,9-8,27,17,0.6296296296296297,17-18,15-16,0.12389428168535233
167,9-9,10,8,0.8,17-18,17-18,0.0546875
