data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2018-09-15,2018,south alabama,texas state,41,31,1,-9.625,,-9.625,,,
2018-09-15,2018,alcorn state,texas southern,27,15,1
2018-09-15,2018,cincinnati,alabama a&m,63,7,1
2018-09-15,2018,southern illinois,southeast missouri state,44,48,0
2018-09-15,2018,south dakota state,arkansas-pine bluff,90,6,1
2018-09-15,2018,houston christian,abilene christian,13,38,0
2018-09-15,2018,northwestern,akron,34,39,0,-21.125,,-21.125,,,
2018-09-15,2018,mississippi state,louisiana,56,10,1,-34.125,,-34.125,,,
2018-09-15,2018,purdue,missouri,37,40,0,5.25,,5.25,,,
2018-09-15,2018,iowa,northern iowa,38,14,1,-21.0,,-21.0,,,
2018-09-15,2018,louisville,western kentucky,20,17,1,-23.875,,-23.875,,,
2018-09-15,2018,florida international,umass,63,24,1,-3.5,,-3.5,,,
2018-09-15,2018,texas a&m,louisiana monroe,48,10,1,nan,,nan,,,
2018-09-16,2018,texas,usc,37,14,1,-3.25,,-3.25,,,
2018-09-16,2018,southeastern louisiana,central arkansas,25,33,0
2018-09-16,2018,new mexico state,new mexico,25,42,0,3.0,,3.0,,,
2018-09-16,2018,washington state,eastern washington,59,24,1,-20.0,,-20.0,,,
2018-09-16,2018,tcu,ohio state,28,40,0,12.75,,12.75,,,
2018-09-16,2018,weber state,south dakota,27,10,1
2018-09-16,2018,unlv,prairie view,46,17,1,-32.0,,-32.0,,,
2018-09-16,2018,utah,washington,7,21,0,4.125,,4.125,,,
2018-09-16,2018,ucla,fresno state,14,38,0,2.625,,2.625,,,
2018-09-16,2018,san diego state,arizona state,28,21,1,4.875,,4.875,,,
2018-09-16,2018,arizona,southern utah,62,31,1,-26.5,,-26.5,,,
2018-09-20,2018,temple,tulsa,31,17,1,-6.375,,-6.375,,,
2018-09-21,2018,brown,harvard,17,31,0
2018-09-21,2018,ucf,florida atlantic,56,36,1,-14.0,,-14.0,,,
2018-09-22,2018,illinois,penn state,24,63,0,26.5,,26.5,,,
2018-09-22,2018,usc,washington state,39,36,1,-4.5,,-4.5,,,
