Id,Season,Week,Season Type,Start Date,Start Time Tbd,Completed,Neutral Site,Conference Game,Attendance,Venue Id,Venue,Home Id,Home Team,Home Conference,Home Division,Home Points,Home Line Scores[0],Home Line Scores[1],Home Line Scores[2],Home Line Scores[3],Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Id,Away Team,Away Conference,Away Division,Away Points,Away Line Scores[0],Away Line Scores[1],Away Line Scores[2],Away Line Scores[3],Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Highlights,Notes
302472415,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,,3762.0,Hughes Stadium,2415,Morgan State,MEAC,fcs,14,3,3,2,6,,,,2075,Bowie State,,,7,0,7,0,0,,,,,,
302470290,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,,3608.0,Paulson Stadium,290,Georgia Southern,Southern,fcs,48,10,17,7,14,,,,2542,Savannah State,MEAC,fcs,3,0,0,3,0,,,,,,
302472241,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,,3710.0,Ernest W. Spangler Stadium,2241,Gardner-Webb,Big South,fcs,28,14,0,7,7,,,,2913,Brevard College,,,14,0,0,0,14,,,,,,
302472633,2010,1,regular,2010-09-04T22:00:00.000Z,,True,False,False,0.0,3853.0,Neyland Stadium,2633,Tennessee,SEC,fbs,50,13,7,23,7,0.9882501558419254,,,2630,UT Martin,OVC,fcs,0,0,0,0,0,0.0117498441580745,,,,,
302472448,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,,3603.0,Aggie Stadium,2448,North Carolina A&T,MEAC,fcs,14,7,0,0,7,,,,2736,Winston-Salem,CIAA,ii,21,0,3,7,11,,,,,,
302472006,2010,1,regular,2010-09-04T22:00:00.000Z,,True,False,False,0.0,3768.0,Summa Field at InfoCision Stadium,2006,Akron,Mid-American,fbs,3,0,3,0,0,0.0162977869920383,1254.0,1201.0,183,Syracuse,Big East,fbs,29,7,10,6,6,0.9837022130079616,1393.0,1446.0,,,
302470256,2010,1,regular,2010-09-04T22:00:00.000Z,False,True,False,False,,3651.0,Bridgeforth Stadium,256,James Madison,CAA,fcs,48,14,20,14,0,,,,2413,Morehead State,Pioneer,fcs,7,0,0,0,7,,,,,,
302470024,2010,1,regular,2010-09-04T22:30:00.000Z,False,True,False,False,0.0,3940.0,Stanford Stadium,24,Stanford,Pac-10,fbs,52,21,17,7,7,0.9999440375532946,,,16,Sacramento State,Big Sky,fcs,17,7,0,7,3,5.59624467053e-05,,,,,
302472634,2010,1,regular,2010-09-04T23:00:00.000Z,False,True,False,False,,3810.0,Nissan Stadium,2634,Tennessee State,OVC,fcs,27,6,21,0,0,,,,2010,Alabama A&M,SWAC,fcs,14,0,0,0,14,,,,,,
302470333,2010,1,regular,2010-09-04T23:00:00.000Z,,True,False,False,0.0,3657.0,Bryant Denny Stadium,333,Alabama,SEC,fbs,48,14,17,10,7,0.9996416660773828,1889.0,1931.0,23,San José State,Western Athletic,fbs,3,3,0,0,0,0.000358333922617,1174.0,1132.0,,,
302470201,2010,1,regular,2010-09-04T23:00:00.000Z,,True,False,False,0.0,3835.0,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,fbs,31,14,7,10,0,0.528637697589759,1889.0,1872.0,328,Utah State,Western Athletic,fbs,24,0,10,14,0,0.471362302410241,1372.0,1389.0,,,
302470002,2010,1,regular,2010-09-04T23:00:00.000Z,,True,False,False,0.0,3785.0,Jordan-Hare Stadium,2,Auburn,SEC,fbs,52,14,21,10,7,0.9958499735372288,1585.0,1621.0,2032,Arkansas State,Sun Belt,fbs,26,6,10,7,3,0.004150026462771,1311.0,1275.0,,,
302472181,2010,1,regular,2010-09-04T23:00:00.000Z,False,True,False,False,,3701.0,Drake Stadium,2181,Drake,Pioneer,fcs,14,0,0,7,7,,,,2329,Lehigh,Patriot,fcs,28,14,7,0,7,,,,,,
302470158,2010,1,regular,2010-09-04T23:00:00.000Z,,True,False,False,0.0,3834.0,Memorial Stadium,158,Nebraska,Big 12,fbs,49,14,7,14,14,0.9966587474579792,1782.0,1816.0,98,Western Kentucky,Sun Belt,fbs,10,0,0,3,7,0.0033412525420207,1151.0,1117.0,,,
302470008,2010,1,regular,2010-09-04T23:00:00.000Z,,True,False,False,0.0,3887.0,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,fbs,44,0,23,21,0,0.995482433177216,,,2635,Tennessee Tech,OVC,fcs,3,3,0,0,0,0.0045175668227839,,,,,
302470195,2010,1,regular,2010-09-04T23:00:00.000Z,False,True,False,False,0.0,3876.0,Peden Stadium,195,Ohio,Mid-American,fbs,33,7,10,3,13,0.6828384249539358,,,2747,Wofford,Southern,fcs,10,7,0,3,0,0.3171615750460642,,,,,
302472653,2010,1,regular,2010-09-04T23:00:00.000Z,,True,False,False,0.0,3975.0,Veterans Memorial Stadium,2653,Troy,Sun Belt,fbs,30,7,10,10,3,0.9691395855283867,1511.0,1511.0,189,Bowling Green,Mid-American,fbs,27,14,3,10,0,0.0308604144716132,1473.0,1473.0,,,
302470197,2010,1,regular,2010-09-04T23:00:00.000Z,,True,False,False,0.0,3646.0,Boone Pickens Stadium,197,Oklahoma State,Big 12,fbs,65,17,21,13,14,0.9797102488531668,1639.0,1712.0,265,Washington State,Pac-10,fbs,17,0,10,0,7,0.020289751146833,1109.0,1036.0,,,
302470344,2010,1,regular,2010-09-04T23:00:00.000Z,,True,False,False,0.0,3693.0,Davis Wade Stadium,344,Mississippi State,SEC,fbs,49,14,7,21,7,0.984602866441902,1503.0,1594.0,235,Memphis,Conference USA,fbs,7,0,0,0,7,0.015397133558098,1265.0,1174.0,,,
302470252,2010,1,regular,2010-09-04T23:00:00.000Z,,True,False,True,0.0,3801.0,LaVell Edwards Stadium,252,BYU,Mountain West,fbs,23,5,8,10,0,0.5449073478601658,1727.0,1723.0,264,Washington,Pac-10,fbs,17,7,10,0,0,0.4550926521398342,1482.0,1486.0,,,
