gameID,date,season,week,homeTeam,homeID,awayTeam,awayID,homeScore,awayScore,result,homePostWinProb,awayPostWinProb,homePreElo,homePostElo,awayPreElo,awayPostElo,overUnder,spread,openingOverUnder,openingSpread,homeMoneyline,awayMoneyline,homeRank,homePoints,awayRank,awayPoints,P Homewins Elo,Elo Brier Score,MoneylineProb,ML Brier Score
332850248,2013-10-12,2013,7,Houston,248,Memphis,235,25,15,1,0.279,0.721,1523.0,1530.0,1379.0,1372.0,53.5,8.0,51.5,10.5,-315.0,255.0,,,,,0.6961287704295998,0.0923377241606269,0.7293331159302137,0.07326056213204715
332850349,2013-10-12,2013,7,Army,349,Eastern Michigan,2199,50,25,1,0.936,0.064,1269.0,1309.0,1065.0,1025.0,58.0,10.5,52.5,7.0,-365.0,295.0,,,,,0.7639246991448386,0.05573154767385496,0.7561295397928413,0.059472801361651395
332852628,2013-10-12,2013,7,TCU,2628,Kansas,2305,27,17,1,0.86,0.14,1695.0,1678.0,1159.0,1176.0,45.5,24.0,44.0,24.0,-2845.0,1345.0,,,,,0.956289152264316,0.001910638209772152,0.9331521214838185,0.004468638862114155
332850008,2013-10-12,2013,7,Arkansas,8,South Carolina,2579,7,52,0,0.123,0.877,1565.0,1456.0,1768.0,1877.0,49.5,5.0,51.0,7.0,175.0,-205.0,,,14.0,764.0,0.23711501969474583,0.0562235325648397,0.3510791366906475,0.12325656021945035
332850150,2013-10-12,2013,7,Duke,150,Navy,2426,35,7,1,0.67,0.33,1387.0,1464.0,1415.0,1338.0,57.0,4.0,56.5,3.5,-185.0,160.0,,,,,0.45979177167625435,0.2918249299486802,0.6279373368146214,0.1384306253365965
332852711,2013-10-12,2013,7,Western Michigan,2711,Buffalo,2084,0,33,0,0.235,0.765,1166.0,1094.0,1342.0,1414.0,50.0,10.0,52.0,7.5,300.0,-380.0,,,,,0.2663662975861926,0.07095100448977612,0.24000000000000005,0.05760000000000002
332850195,2013-10-12,2013,7,Ohio,195,Central Michigan,2117,23,26,0,0.672,0.328,1466.0,1441.0,1161.0,1186.0,51.5,20.0,53.5,10.5,-1200.0,850.0,,,,,0.8526729520561114,0.7270511631680836,0.8976377952755905,0.8057536115072229
332852050,2013-10-12,2013,7,Ball State,2050,Kent State,2309,27,24,1,0.394,0.606,1565.0,1564.0,1409.0,1410.0,63.5,13.0,61.5,11.0,-560.0,435.0,,,,,0.7105400123698378,0.08378708443885367,0.8194748358862145,0.03258933487830919
332850120,2013-10-12,2013,7,Maryland,120,Virginia,258,27,26,1,0.909,0.091,1550.0,1543.0,1307.0,1314.0,40.5,6.0,44.0,4.0,-235.0,200.0,,,,,0.8019966441144332,0.039205328941946435,0.6778846153846154,0.10375832100591714
332850036,2013-10-12,2013,7,Colorado State,36,San José State,23,27,34,0,0.704,0.296,1330.0,1325.0,1434.0,1439.0,61.0,3.0,59.0,0.0,-165.0,145.0,,,,,0.3546475495606176,0.12577488440935072,0.6040343668285393,0.36485751630995433
332852247,2013-10-12,2013,7,Georgia State,2247,Troy,2653,28,35,0,0.681,0.319,1233.0,1222.0,1260.0,1271.0,62.0,15.0,62.0,16.0,480.0,-630.0,,,,,0.46122190794282847,0.21272564836642294,0.166514598540146,0.027727111526985992
332852751,2013-10-12,2013,7,Wyoming,2751,New Mexico,167,38,31,1,0.792,0.208,1441.0,1443.0,1307.0,1305.0,70.0,12.5,68.0,10.0,-515.0,390.0,,,,,0.6838163141936586,0.0999721231700832,0.8040465190377569,0.03839776670122016
332852306,2013-10-12,2013,7,Kansas State,2306,Baylor,239,25,35,0,0.865,0.135,1744.0,1744.0,1992.0,1992.0,73.5,17.0,72.0,10.5,565.0,-740.0,,,15.0,681.0,0.19347247718289215,0.037431599427284724,0.14580801944106925,0.02125997853332723
332850275,2013-10-12,2013,7,Wisconsin,275,Northwestern,77,35,6,1,0.996,0.004,1887.0,1941.0,1696.0,1642.0,58.0,11.0,57.0,9.5,-425.0,335.0,,,19.0,418.0,0.750163481828642,0.062418285811987294,0.778830963665087,0.04891574263331408
332850228,2013-10-12,2013,7,Clemson,228,Boston College,103,24,14,1,0.964,0.036,1911.0,1897.0,1424.0,1438.0,64.0,24.0,61.0,21.0,-2550.0,1350.0,3.0,1359.0,,,0.9428591346675568,0.003265078490940412,0.9331230283911672,0.004472529331568624
332852655,2013-10-12,2013,7,Tulane,2655,East Carolina,151,36,33,1,0.499,0.501,1197.0,1203.0,1545.0,1539.0,53.0,13.5,54.5,11.0,390.0,-515.0,,,,,0.11886221644630175,0.7764037936059239,0.1959534809622431,0.646490804776734
332850099,2013-10-12,2013,7,LSU,99,Florida,57,17,6,1,0.706,0.294,1972.0,1978.0,1790.0,1784.0,49.0,9.0,47.5,6.5,-365.0,295.0,10.0,993.0,17.0,536.0,0.7403284195148304,0.0674293297116659,0.7561295397928413,0.059472801361651395
332850152,2013-10-12,2013,7,NC State,152,Syracuse,183,10,24,0,0.304,0.696,1562.0,1529.0,1549.0,1582.0,52.5,7.0,54.0,4.5,-245.0,205.0,,,,,0.5186997779295586,0.26904945962417337,0.6841382467383841,0.4680451406502701
332850264,2013-10-12,2013,7,Washington,264,Oregon,2483,24,45,0,0.592,0.408,1675.0,1669.0,2130.0,2136.0,75.5,12.0,76.0,10.5,365.0,-465.0,16.0,556.0,2.0,1424.0,0.06791351529725646,0.004612245560030688,0.20716839306994225,0.0429187430871821
332852636,2013-10-12,2013,7,UT San Antonio,2636,Rice,242,21,27,0,0.853,0.147,1251.0,1255.0,1466.0,1462.0,52.5,1.0,54.5,3.5,105.0,-115.0,,,,,0.2248471343503159,0.050556233825549,0.47698280643372154,0.22751259763338907
332852226,2013-10-12,2013,7,Florida Atlantic,2226,Marshall,276,23,24,0,0.871,0.129,1296.0,1305.0,1514.0,1505.0,56.5,9.5,53.0,13.0,305.0,-385.0,,,,,0.22185154578086755,0.04921810836536037,0.2372508254861196,0.05628795419384517
332850213,2013-10-12,2013,7,Penn State,213,Michigan,130,43,40,1,0.757,0.243,1696.0,1699.0,1863.0,1860.0,51.5,1.5,49.0,1.0,105.0,-125.0,,,18.0,514.0,0.27661213056082945,0.5232900096517424,0.4675324675324675,0.28352167313206283
332850254,2013-10-12,2013,7,Utah,254,Stanford,24,27,21,1,0.506,0.494,1555.0,1581.0,1892.0,1866.0,52.5,7.5,55.0,10.0,255.0,-315.0,,,5.0,1278.0,0.1256557731814538,0.7644778269709214,0.27066688406978645,0.5319267939924743
