data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2019-09-07,2019,davidson,virginia lynchburg,45,7,1
2019-09-07,2019,wagner,east stroudsburg,14,24,0
2019-09-07,2019,georgia southern,maine,26,18,1,-8.5,,-8.5,,,
2019-09-07,2019,stetson,louisiana college,58,13,1
2019-09-07,2019,villanova,lehigh,38,10,1
2019-09-07,2019,james madison,st francis (pa),44,7,1
2019-09-07,2019,sacred heart,bucknell,30,10,1
2019-09-07,2019,central connecticut,merrimack,40,37,1
2019-09-07,2019,towson,north carolina central,42,3,1
2019-09-07,2019,middle tennessee,tennessee state,45,26,1,-25.5,,-25.5,,,
2019-09-07,2019,georgia state,furman,48,42,1,-6.0,,-6.0,,,
2019-09-07,2019,south alabama,jackson state,37,14,1,-25.0,,-25.0,,,
2019-09-07,2019,jacksonville state,chattanooga,41,20,1
2019-09-07,2019,alabama a&m,arkansas-pine bluff,34,52,0
2019-09-07,2019,lamar,mississippi valley state,23,20,1
2019-09-07,2019,incarnate word,texas southern,63,44,1
2019-09-07,2019,south dakota state,long island university,38,3,1
2019-09-07,2019,albany,bryant,45,3,1
2019-09-07,2019,rhode island,delaware,36,44,0
2019-09-07,2019,tennessee,byu,26,29,0,-3.25,,-3.25,,,
2019-09-07,2019,florida atlantic,ucf,14,48,0,13.625,,13.625,,,
2019-09-07,2019,alcorn state,mississippi college,45,7,1
2019-09-07,2019,texas state,wyoming,14,23,0,7.5,,7.5,,,
2019-09-07,2019,northwestern state,midwestern state,7,33,0
2019-09-07,2019,oklahoma state,mcneese,56,14,1,-42.0,,-42.0,,,
2019-09-07,2019,kansas,coastal carolina,7,12,0,-7.0,,-7.0,,,
2019-09-07,2019,drake,truman state,7,10,0
2019-09-07,2019,smu,north texas,49,27,1,-3.625,,-3.625,,,
2019-09-07,2019,louisville,eastern kentucky,42,0,1,-21.0,,-21.0,,,
2019-09-07,2019,oklahoma,south dakota,70,14,1,-46.5,,-46.5,,,
2019-09-07,2019,stephen f. austin,tarleton state,26,37,0
2019-09-07,2019,sam houston state,ok panhandle st,77,0,1
2019-09-07,2019,florida international,western kentucky,14,20,0,-8.0,,-8.0,,,
2019-09-07,2019,houston christian,texas wesleyan,58,13,1
2019-09-07,2019,abilene christian,arizona christian,66,14,1
2019-09-07,2019,kentucky,eastern michigan,38,17,1,-15.625,,-15.625,,,
2019-09-07,2019,east tennessee state,shorter,48,10,1
2019-09-07,2019,ole miss,arkansas,31,17,1,-5.25,,-5.25,,,
2019-09-07,2019,florida,ut martin,45,0,1,-44.5,,-44.5,,,
2019-09-07,2019,penn state,buffalo,45,13,1,-31.5,,-31.5,,,
2019-09-07,2019,michigan state,western michigan,51,17,1,-14.625,,-14.625,,,
2019-09-07,2019,utah state,stony brook,62,7,1,-31.5,,-31.5,,,
2019-09-07,2019,auburn,tulane,24,6,1,-16.125,,-16.125,,,
2019-09-07,2019,illinois state,morehead state,42,14,1
2019-09-07,2019,oregon,nevada,77,6,1,-24.25,,-24.25,,,
2019-09-07,2019,louisiana,liberty,35,14,1,-14.125,,-14.125,,,
2019-09-07,2019,texas,lsu,38,45,0,6.5,,6.5,,,
2019-09-08,2019,weber state,cal poly,41,24,1
2019-09-08,2019,houston,prairie view,37,17,1,-35.0,,-35.0,,,
2019-09-08,2019,montana state,southeast missouri state,38,17,1
2019-09-08,2019,texas tech,utep,38,3,1,-34.75,,-34.75,,,
2019-09-08,2019,north carolina,miami,28,25,1,5.125,,5.125,,,
2019-09-08,2019,idaho,central washington,41,31,1
2019-09-08,2019,san josé state,tulsa,16,34,0,6.375,,6.375,,,
2019-09-08,2019,montana,north alabama,61,17,1
2019-09-08,2019,unlv,arkansas state,17,43,0,0.0,,0.0,,,
2019-09-08,2019,usc,stanford,45,20,1,-3.125,,-3.125,,,
2019-09-08,2019,washington,california,19,20,0,-13.625,,-13.625,,,
2019-09-08,2019,fresno state,minnesota,35,38,0,2.875,,2.875,,,
2019-09-08,2019,arizona,northern arizona,65,41,1,-28.0,,-28.0,,,
2019-09-08,2019,hawai'i,oregon state,31,28,1,-6.75,,-6.75,,,
2019-09-13,2019,wake forest,north carolina,24,18,1,-3.0,,-3.0,,,
2019-09-13,2019,boston college,kansas,24,48,0,-19.75,,-19.75,,,
2019-09-14,2019,houston,washington state,24,31,0,9.0,,9.0,,,
2019-09-14,2019,georgia,arkansas state,55,0,1,-32.75,,-32.75,,,
2019-09-14,2019,mississippi state,kansas state,24,31,0,-7.0,,-7.0,,,
2019-09-14,2019,illinois,eastern michigan,31,34,0,-7.25,,-7.25,,,
2019-09-14,2019,west virginia,nc state,44,27,1,7.0,,7.0,,,
2019-09-14,2019,virginia tech,furman,24,17,1,-24.0,,-24.0,,,
2019-09-14,2019,penn state,pittsburgh,17,10,1,-17.0,,-17.0,,,
2019-09-14,2019,marist,stetson,26,23,1
2019-09-14,2019,st francis (pa),merrimack,42,14,1
2019-09-14,2019,tennessee,chattanooga,45,0,1,-30.5,,-30.5,,,
2019-09-14,2019,cincinnati,miami (oh),35,13,1,-17.125,,-17.125,,,
2019-09-14,2019,georgetown,catholic university,69,0,1
2019-09-14,2019,indiana,ohio state,10,51,0,17.5,,17.5,,,
2019-09-14,2019,temple,maryland,20,17,1,5.0,,5.0,,,
2019-09-14,2019,lafayette,sacred heart,40,56,0
2019-09-14,2019,georgia tech,the citadel,24,27,0,-25.5,,-25.5,,,
2019-09-14,2019,colorado,air force,23,30,0,-3.0,,-3.0,,,
2019-09-14,2019,monmouth,albany,38,35,1
2019-09-14,2019,bryant,fordham,14,29,0
2019-09-14,2019,indiana state,eastern kentucky,19,7,1
2019-09-14,2019,delaware,north dakota state,22,47,0
2019-09-14,2019,coastal carolina,norfolk state,46,7,1,-25.5,,-25.5,,,
2019-09-14,2019,youngstown state,duquesne,34,14,1
2019-09-14,2019,south dakota state,drake,38,10,1
2019-09-14,2019,ball state,florida atlantic,31,41,0,2.5,,2.5,,,
2019-09-14,2019,valparaiso,central connecticut,13,42,0
