,Date,Rank,TeamID,Points,Team
397,1938-11-07,1,29,986.0,TCU 
398,1938-11-07,2,7,970.0,Notre Dame 
399,1938-11-07,3,9,790.0,Pittsburgh 
400,1938-11-07,4,28,667.0,Tennessee 
401,1938-11-07,5,27,648.0,Dartmouth
402,1938-11-07,6,49,510.0,Carnegie Mellon
403,1938-11-07,7,2,389.0,Duke
404,1938-11-07,8,23,379.0,Santa Clara 
405,1938-11-07,9,6,289.0,USC 
406,1938-11-07,10,50,194.0,Oklahoma 
407,1938-11-07,11,17,166.0,Holy Cross
408,1938-11-07,12,1,163.0,Minnesota
409,1938-11-07,13,16,86.0,Fordham
410,1938-11-07,14,34,62.0,California
411,1938-11-07,15,36,32.0,Wisconsin
412,1938-11-07,16,25,31.0,Alabama
413,1938-11-07,17,4,29.0,Northwestern
414,1938-11-07,18,48,18.0,Michigan 
415,1938-11-07,19,41,17.0,Villanova
416,1938-11-07,20,38,16.0,Cornell
417,1938-11-07,NR,51,0.0,Iowa State
418,1938-11-07,NR,14,0.0,Texas A&M
419,1938-11-14,1,7,887.0,Notre Dame 
420,1938-11-14,2,29,786.0,TCU 
421,1938-11-14,3,28,639.0,Tennessee 
422,1938-11-14,4,2,586.0,Duke 
423,1938-11-14,5,9,532.0,Pittsburgh 
424,1938-11-14,6,49,407.0,Carnegie Mellon
425,1938-11-14,7,50,315.0,Oklahoma 
426,1938-11-14,8,38,194.0,Cornell
427,1938-11-14,9,34,138.0,California
428,1938-11-14,10,17,130.0,Holy Cross
429,1938-11-14,11,23,79.0,Santa Clara
430,1938-11-14,12,36,52.0,Wisconsin
431,1938-11-14,13,6,40.0,USC
432,1938-11-14,14,27,38.0,Dartmouth
433,1938-11-14,15,41,26.0,Villanova
434,1938-11-14,16,4,23.0,Northwestern
435,1938-11-14,17,48,19.0,Michigan
436,1938-11-14,18,16,18.0,Fordham
437,1938-11-14,19,52,17.0,Texas Tech
438,1938-11-14,20,25,16.0,Alabama
439,1938-11-14,NR,1,0.0,Minnesota
440,1938-11-21,1,7,807.0,Notre Dame 
441,1938-11-21,2,29,746.0,TCU 
442,1938-11-21,3,2,553.0,Duke 
443,1938-11-21,4,28,523.0,Tennessee 
444,1938-11-21,4,9,523.0,Pittsburgh 
445,1938-11-21,6,50,351.0,Oklahoma
446,1938-11-21,7,49,336.0,Carnegie Mellon
447,1938-11-21,8,1,152.0,Minnesota
448,1938-11-21,9,34,151.0,California
449,1938-11-21,10,38,147.0,Cornell
450,1938-11-21,11,17,79.0,Holy Cross
451,1938-11-21,12,48,52.0,Michigan
452,1938-11-21,13,27,38.0,Dartmouth
453,1938-11-21,14,6,36.0,USC
454,1938-11-21,15,4,35.0,Northwestern
455,1938-11-21,16,41,33.0,Villanova
456,1938-11-21,17,52,25.0,Texas Tech
457,1938-11-21,18,16,21.0,Fordham
458,1938-11-21,19,23,13.0,Santa Clara
459,1938-11-21,20,53,11.0,Georgetown
460,1938-11-21,NR,36,0.0,Wisconsin
461,1938-11-21,NR,25,0.0,Alabama
462,1938-11-28,1,7,823.0,Notre Dame 
463,1938-11-28,2,29,782.0,TCU 
464,1938-11-28,3,2,733.0,Duke 
465,1938-11-28,4,28,607.0,Tennessee 
466,1938-11-28,5,50,363.0,Oklahoma
467,1938-11-28,6,49,345.0,Carnegie Mellon
468,1938-11-28,7,9,251.0,Pittsburgh
469,1938-11-28,8,6,194.0,USC
470,1938-11-28,9,17,189.0,Holy Cross
